"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-1643.9,6.6359,-222.97,0.44351,328.85,1626,5.9107e+05,377441,1,-464.72,4149.7,3712.6,-7195.1,466.03,-578.17,-7676.8,1018.7,-141.76,11980,328020,431,821,3827,0.22484,1.4717,-1.6183
-1557,74.904,-137.65,-0.037834,202.22,1551.8,5.9266e+05,376221,1,-183.05,5041.8,4609.7,-7013.5,461.46,-500.65,-7098.8,1055.4,32.492,12160,328534,431,854,3828,0.21372,1.4817,-1.6106
-1561.9,148.3,-66.638,3.9948,93.666,1567.6,5.9598e+05,376223,1,552.45,4894.9,4562.3,-9874.8,1045.4,-275.98,-8338,1471,304.13,14681,332881,431,854,3828,0.20383,1.4817,-1.6119
-1580.6,267.96,28.947,19.921,-64.1,1602,5.6343e+05,376225,1,4008.5,4484.8,4601.5,-10954,1288.5,-143.52,-12076,2144.2,519.18,18158,336109,431,854,3828,0.19394,1.4817,-1.6131
-1658,360.49,173.24,-23.039,-230.23,1689.8,5.0454e+05,376227,1,750.76,5322.4,4998.2,7908.2,-8009.7,-6511,-14125,2014.6,223.58,20654,337911,431,854,3828,0.18404,1.4817,-1.6143
-1568.7,152.09,333.83,-266.98,-202.96,1575.7,4.915e+05,376229,1,-55289,27691,19572,-8464,-3153.8,-3751.1,-35203,7378.4,3005.5,74867,354409,431,854,3828,0.17413,1.4817,-1.6154
-1882.6,325.2,354.86,-194.41,-313.42,1907.8,4.8753e+05,377451,1,-44139,12989,7218.4,-2732,-2997.6,-2986.8,-26723,2499.1,-596.42,53992,350717,431,854,3828,0.1751,1.4717,-1.6244
-1813.6,-2009.1,-2222,-3.4873,3241.6,1324.7,6.0706e+05,377419,1,-3894.2,4718,3524.4,-25827,4059.3,-1638.2,-25433,3460.3,-2107,37407,346391,431,821,3827,0.33347,1.4717,-1.5994
-1787.1,-1754.7,-1971.2,-1.8637,2878.5,1368.4,6.0534e+05,377421,1,-3438.4,4851.2,3772.5,-24681,4000.9,-1306,-24330,3538.2,-1660.8,35828,345827,431,821,3827,0.32365,1.4717,-1.6014
-1899.5,-2080.5,-2281.8,-3.7658,3349.9,1386.2,6.0589e+05,378653,1,-3783.3,4422.4,3227.8,-26243,4019.6,-1846.7,-25648,3241.7,-2429.1,37773,346514,431,821,3827,0.33531,1.4616,-1.6082
-1763.5,-1517.1,-1737.5,-0.11967,2539.1,1408.3,6.0308e+05,377423,1,-2919.4,4846.3,3874.4,-22977,3753.8,-1047.1,-22559,3423.5,-1267.5,33353,344792,431,821,3827,0.31382,1.4717,-1.6034
-1829,-1360.6,-1578.9,0.3794,2324.6,1511.7,6.011e+05,378659,1,-2644,3983.8,3115.6,-21974,3658.2,-837.67,-21453,3198.4,-1154.8,31643,344047,431,821,3827,0.30565,1.4616,-1.6141
-1644.1,-73.232,-306.52,0.83531,451.35,1612,5.9249e+05,377439,1,-929.61,4138.8,3634.2,-9244.7,884.63,-540.95,-9637.8,1385.4,-141.64,14580,332763,431,821,3827,0.23477,1.4717,-1.6168
-1709,-88.947,-329.71,1.1755,488.38,1672.9,5.9296e+05,378673,1,-914.28,2628.9,2238.4,-9928.9,964.72,-573.28,-10214,1227.9,-376.57,14784,332987,431,821,3827,0.23606,1.4616,-1.6257
-1201.3,488.54,573.5,-192.25,-643.68,1248.8,4.7563e+05,378687,1,-84072,9032.6,-407.94,-10940,-7098.1,-7458.9,-18703,-3497.6,-5030.5,88108,356213,431,854,3828,0.16604,1.4616,-1.6344
-1025.7,302.7,535.24,-270.09,-498.3,1053,4.7346e+05,377453,1,-97657,18220,6656.6,-9634.2,-1446.5,-2202.3,-16500,6651.2,4388.3,1.0173e+05,357870,431,854,3828,0.16513,1.4717,-1.6254
-1975.7,-2151.8,-2338.4,-3.7364,3454.7,1437.6,6.0504e+05,379897,1,-3700.9,3613.1,2478.7,-26002,4010.1,-1796.5,-25139,3024.3,-2501.2,37091,346284,431,821,3827,0.33713,1.4515,-1.617
-1857.8,-1213.2,-1424,0.07767,2113.2,1576.5,5.9906e+05,379905,1,-2906.7,2353.7,1573,-21383,3800.4,-518.73,-20680,3032.1,-1076.1,30437,343501,431,821,3827,0.29735,1.4515,-1.6247
-1746.9,-536.96,-774.29,2.6372,1143.2,1622.6,5.958e+05,378667,1,-2104.8,3038,2396.4,-18705,3267.6,-124.88,-18273,3092.7,-210.79,26897,341877,431,821,3827,0.26595,1.4616,-1.6211
-1730.6,-359.26,-599.96,2.4751,886.34,1642.6,5.9441e+05,378669,1,-2031.9,3010.7,2392.5,-16823,2794.5,-158.1,-16572,2752.1,-155.46,24331,340402,431,821,3827,0.25599,1.4616,-1.6227
-1792.5,-595.59,-827.51,2.2543,1230.3,1655,5.9515e+05,379911,1,-2368.2,1713.7,1142.1,-19207,3310.8,-205.18,-18513,2831.8,-516.77,27218,342043,431,821,3827,0.26739,1.4515,-1.6299
-1717,-208.64,-450.48,1.9604,666.16,1658.6,5.9362e+05,378671,1,-1629.7,2701,2184.9,-13921,1929.7,-383.88,-13899,2041.6,-278.94,20244,337626,431,821,3827,0.24603,1.4616,-1.6243
-1160.9,649.51,694.38,-178.3,-844.48,1227.5,4.8714e+05,379931,1,-80161,-3290.8,-11070,-18474,-4566.2,-5958.6,-24790,-4362.9,-6406,87358,356121,431,854,3828,0.16694,1.4515,-1.6433
-2034.8,-2224.9,-2390.1,-5.0613,3555,1471.5,6.041e+05,381149,1,-3739.2,1997.6,996.09,-26285,4238.3,-1739.2,-25131,2774,-2794.5,37120,346289,431,821,3827,0.33895,1.4414,-1.6257
-1834,-1002,-1219.6,1.0291,1811.2,1604.5,5.9773e+05,379907,1,-2565.1,2125.5,1448.6,-20741,3678.7,-360.82,-19970,3023,-809.76,29421,343062,431,821,3827,0.28738,1.4515,-1.6265
-1813,-794.79,-1019.8,1.7982,1515.4,1631.6,5.9621e+05,379909,1,-2316.8,2039.5,1426.9,-20288,3550.4,-292.6,-19507,2975.3,-671.37,28735,342731,431,821,3827,0.27739,1.4515,-1.6283
-1083.8,634.32,739.09,-222.23,-866.95,1149.9,4.9403e+05,381183,1,-87261,-3612,-12029,-29106,69.84,-2913,-29503,-922.01,-3833.5,97539,357399,431,874,3829,0.16784,1.4414,-1.6521
-2014.7,-2040.1,-2188.8,-1.9739,3278.8,1503.6,6.0182e+05,382413,1,-3684.8,643.01,-179.61,-24787,4406.1,-1160.5,-23473,2795.4,-2302.1,34832,345421,431,821,3827,0.33071,1.4311,-1.6363
-2049.8,-2306.1,-2441.4,-4.0036,3653.6,1459.9,6.0334e+05,382411,1,-3391.2,484.9,-280.34,-26069,4469.7,-1520.3,-24579,2680.5,-2776.1,36507,346080,431,821,3827,0.34074,1.4311,-1.6343
-1075.9,613.33,723.1,-229.54,-838.82,1140.3,4.9641e+05,382445,1,-79798,-78.574,-8164.7,-25652,-5085.8,-6960.6,-28684,-3089.3,-5575.8,89611,356412,431,874,3829,0.16873,1.4311,-1.6609
-2015.9,-2123.8,-2240.2,-1.255,3377.2,1479.1,6.0109e+05,383685,1,-3494.2,340.97,-413.15,-24755,4798.8,-860.82,-23168,2908.6,-2172,34626,345358,431,821,3827,0.33244,1.4209,-1.6449
-1081.2,814.61,848.89,-201.56,-1069.3,1170.1,5.0686e+05,383717,1,-69112,5056.2,-2704.4,-20068,-10945,-11366,-27354,-5390.3,-7389.3,79328,355090,431,874,3829,0.16961,1.4209,-1.6696
-2026.7,-2209.7,-2291.6,-2.3556,3478.8,1462.8,5.9993e+05,384965,1,-2999.1,1489.2,659.85,-24476,4540.3,-1073.5,-22608,2748.3,-2225.3,34002,345082,431,821,3827,0.33416,1.4106,-1.6534
-604.45,1135.4,1135.9,-183.16,-1542.8,728.71,5.0579e+05,384999,1,-67701,17978,8646.2,-10407,-5906.4,-5987.4,-18660,3057.9,736.26,74287,354334,431,874,3829,0.16019,1.4106,-1.6792
-2045.6,-2041.5,-2113.1,-3.8832,3236.8,1529.9,5.9825e+05,386255,1,-3316.9,3642.8,2413.5,-23580,4161.7,-1122.8,-21737,2941.7,-1790.8,33001,344637,431,821,3827,0.32567,1.4002,-1.6639
-419.94,1219.7,1145.6,-131.96,-1630.6,548.01,5.3177e+05,386289,1,-87259,17506,6821.6,-3137.1,13918,11192,-9536.8,11374,8537.1,92678,356800,431,920,3831,0.15065,1.4002,-1.6888
-2132.2,-2105.8,-2163.5,-2.9336,3335.4,1592.7,5.9839e+05,387551,1,-2495.9,5976.8,4474.3,-23080,3439.3,-1658.8,-20873,2838.8,-1727,32496,344424,431,821,3827,0.32731,1.3897,-1.6723
