"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-1424.3,-5033.1,7761.8,-207.71,-8697.7,3451.6,5.9847e+05,75051,1,1.0047e+05,-6982.9,1.0407e+05,9519.2,-40648,85182,1.0818e+05,1.8372e+05,-2.4956e+05,3.7109e+05,367579,127,156,2449,-0.85415,1.7917,0.94624
-3163.8,-5317.3,9943.8,1111.3,-10463,5144.1,6.0625e+05,76513,1,1.467e+05,36596,63642,54322,39491,-26452,75262,-5879.7,82328,2.1118e+05,365357,127,167,2450,-0.85663,1.7969,0.93405
-4829.5,-6242.9,8830.2,569.89,-9486.5,7067.7,5.9806e+05,76515,1,91734,30014,26795,18800,20739,-23133,1.5957e+05,98392,-38472,2.1903e+05,365646,127,167,2450,-0.86764,1.7916,0.93405
-3324,-4246.3,5318.5,48.329,-5835.8,4827.8,6.0484e+05,77977,1,38335,21095,-5726.2,5032.5,29085,-51869,33421,-73158,1.7284e+05,2.0457e+05,365099,127,156,2449,-0.85908,1.8021,0.92181
-6074.2,-6351,4026,-1022,-4926.7,8253.7,5.614e+05,76517,1,-71670,-1.1432e+05,1.4907e+05,-82560,-93571,99806,1.6894e+05,1.478e+05,-1.2364e+05,3.6281e+05,367541,127,167,2450,-0.87862,1.7863,0.93405
-4567.9,-5060.2,3084.9,-963.44,-3842.7,6347.7,5.3773e+05,77983,1,-2.0011e+05,-1.2144e+05,40112,-1.3606e+05,-82089,26301,92953,71723,-49008,3.1389e+05,367238,127,168,2451,-0.8921,1.7859,0.92181
-3174.5,-4432.7,6056.7,120.01,-6615.8,4756.7,6.0501e+05,77975,1,86048,10593,57503,6673.5,11678,-16950,1.1067e+05,-14938,1.3029e+05,2.0183e+05,364989,127,172,2452,-0.84801,1.8073,0.92181
-2417.1,-3976.6,6605.5,367.86,-7088.2,3861.5,6.0648e+05,79439,1,50837,-1972.5,50796,2425.6,6804.7,-11367,71651,-17299,1.0104e+05,1.4489e+05,361710,127,172,2452,-0.83926,1.8176,0.90955
-3150.4,-4145.8,3406.4,-685.9,-4053.1,4670.9,5.3802e+05,79449,1,-83079,-25453,-31895,-35580,-13573,-8435,49854,58780,-67157,1.4332e+05,361586,127,168,2451,-0.89462,1.791,0.90955
-2855.2,-3686.5,4861.8,-2.1444,-5326.2,4124.4,6.0674e+05,80907,1,10818,-7102.6,24327,300.18,5549.3,-10939,23157,-26327,74473,87667,356155,127,172,2452,-0.83038,1.8277,0.89725
-2440.8,-4391.8,5112.9,-481.62,-5815.6,4163.4,5.4996e+05,80921,1,-43948,-55529,66199,-25927,-34695,42531,63879,76756,-87591,1.7529e+05,363725,127,168,2451,-0.9081,1.7904,0.89725
-1261.6,-3190.4,2792.9,-915.63,-3483.6,2568.3,5.257e+05,79451,1,-1.3829e+05,-1.0675e+05,71813,-86922,-82523,75244,34238,72765,-1.0904e+05,2.7214e+05,366765,127,168,2451,-0.90559,1.7854,0.90955
-2553.3,-3693.6,5409.1,58.207,-5898.7,3823.8,5.9839e+05,80903,1,27028,-15501,55751,-8077.1,-3592.6,118.56,44496,-14469,69105,1.0546e+05,358316,127,172,2452,-0.80789,1.8378,0.89725
-2763.6,-3620.2,4915.1,17.609,-5375.8,4000.2,6.0189e+05,80905,1,21274,-9736.4,39120,3482.5,2963.9,-2765.7,27863,-23011,71761,92530,356777,127,172,2452,-0.81915,1.8328,0.89725
-2711.7,-3915.6,5982.5,102.35,-6490,4042.9,6.013e+05,82373,1,12010,-15511,43306,-14082,-5610.1,-1027.3,50991,11596,21892,75531,354521,127,172,2452,-0.79877,1.8477,0.88491
-1051.4,-3038.2,2533.8,-992.64,-3219,2325.7,5.2436e+05,80923,1,-1.4782e+05,-1.6183e+05,1.7008e+05,-1.335e+05,-1.2895e+05,1.1933e+05,1.1176e+05,83941,-53039,3.8472e+05,367637,127,183,2453,-0.91906,1.7848,0.89725
-3963.2,-4853.3,3412.6,-915.64,-4130.3,5745.4,5.4195e+05,82395,1,-1.201e+05,-1.087e+05,92960,-87614,-68363,45741,1.4224e+05,78340,-10372,2.7532e+05,366812,127,183,2453,-0.92157,1.7896,0.88491
-3514.9,-3834.7,5523.9,241.28,-5913.7,4748,6.0456e+05,83847,1,-5843.2,-31224,61057,-11545,1505.5,-13866,39925,-25083,90444,1.2437e+05,360047,127,207,2454,-0.80091,1.8527,0.87254
-3723.7,-3994,5983.7,337.42,-6373,4989.3,6.0538e+05,83845,1,2903.8,-28488,63107,-14751,901.8,-15342,48249,-19328,85217,1.2337e+05,359956,127,207,2454,-0.78953,1.8575,0.87254
-3186.3,-3695.9,5139.7,110.88,-5551.5,4404.2,6.0214e+05,83849,1,-6627.6,-25014,46966,-4712.5,-501.04,-3309.6,15685,-8676.8,33110,65776,352919,127,207,2454,-0.81226,1.8477,0.87254
-4800.6,-4944.9,2888.8,-871.68,-3524,6531.8,5.4805e+05,83869,1,-1.7082e+05,-1.0836e+05,39804,-91149,-51836,8838.2,1.1466e+05,40480,37931,2.642e+05,366635,127,209,2455,-0.92404,1.7944,0.87254
-3724.4,-3715,4926.8,204.5,-5266.5,4916.1,6.0276e+05,85327,1,-20208,-31584,48343,-1991.1,4192.9,-11032,-3464.2,-21937,44105,79528,355113,127,211,2456,-0.82575,1.8475,0.86014
-3218.8,-3669.1,4970.7,95.386,-5360.5,4448.2,6.0127e+05,85329,1,-17431,-27380,42048,-284.65,6966.8,-15319,-11623,-21312,34791,70033,353665,127,211,2456,-0.83707,1.8424,0.86014
-5543.7,-5294.5,2072.1,-1185.7,-2755.5,7352.5,5.4672e+05,85345,1,-64907,-79473,95051,-1144,-15369,29763,1.3454e+05,50885,37450,2.0683e+05,365197,127,209,2455,-0.92647,1.7992,0.86014
-4139.7,-3383.1,4452.4,454.4,-4635.5,5168.4,6.0317e+05,86807,1,-16685,-27160,42398,324,15079,-32642,-33232,-59361,97184,1.3483e+05,360900,127,211,2456,-0.83924,1.8472,0.84771
-3740.5,-3394.8,5045.3,548.09,-5239,4819.1,6.0456e+05,86809,1,-9020.1,-23838,42876,-4119.9,15637,-38315,1712.2,-64786,1.4385e+05,1.7062e+05,363467,127,211,2456,-0.85056,1.842,0.84771
-3517.8,-3395.6,4995.7,468.26,-5218.5,4627.1,6.032e+05,86811,1,3497.3,-19415,45689,-8555.3,10246,-30951,22110,-29822,87907,1.1278e+05,359029,127,211,2456,-0.86184,1.8368,0.84771
-3507.1,-3285.8,5032.8,596.05,-5205.4,4579.7,6.0463e+05,86813,1,11275,-17010,48486,-12185,10905,-36138,29875,-42664,1.2405e+05,1.4981e+05,362068,127,212,2457,-0.8731,1.8315,0.84771
-3594.1,-3198.3,4849.7,659,-4980.7,4628.7,6.0538e+05,86815,1,23986,-11403,49731,-15304,9936.9,-37393,59184,-32901,1.3382e+05,1.6553e+05,363175,127,213,2458,-0.88432,1.8261,0.84771
-3920.9,-3050.7,4063.6,637.52,-4137.6,4864.8,6.0508e+05,86817,1,39336,-4294.4,50788,-5424.4,14288,-36248,37519,-42431,1.3113e+05,1.6154e+05,362905,127,213,2458,-0.89551,1.8206,0.84771
-4646.1,-3174.5,4178.1,906.07,-4149.6,5574.9,6.0496e+05,86819,1,81485,23687,36532,14472,27414,-43095,39540,-58048,1.6756e+05,2.1063e+05,365332,127,209,2455,-0.90666,1.8151,0.84771
-6414.5,-3877.9,3901.3,990.21,-3814.4,7474.9,6.0032e+05,86821,1,76750,27244,24013,72295,57793,-45039,99364,-14460,1.3955e+05,2.1762e+05,365579,127,209,2455,-0.91778,1.8095,0.84771
-7437.2,-6213.3,2023.9,-1175,-2684.3,9456.6,5.5307e+05,86823,1,-2.6721e+05,-1.3836e+05,-2025.9,-1.0621e+05,-40977,-31831,80910,14812,57263,3.3848e+05,367398,127,209,2455,-0.92887,1.8038,0.84771
