"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
9265.1,719.55,7326,770.35,-7785.3,-8878.4,5.9604e+05,72111,1,1.2271e+05,1.5913e+05,-2.0651e+05,35636,46379,-60408,-22266,80137,-1.6655e+05,3.5321e+05,367488,130,161,2501,-0.72703,1.8343,0.97053
8311,893.23,6426.5,792.28,-6756.8,-8055.4,5.9729e+05,73569,1,2.1682e+05,-22996,2.1033e+05,1.0525e+05,15135,51524,-15436,-64454,1.1248e+05,3.504e+05,367472,130,151,2500,-0.72921,1.8398,0.9584
11263,1140.7,7624.7,652.81,-8176,-10910,5.872e+05,72109,1,50559,1.1217e+05,-1.7323e+05,-1647.7,54017,-1.0334e+05,-16448,30469,-68479,2.5423e+05,366440,130,161,2501,-0.71576,1.8387,0.97053
11056,637.14,7219.4,178.43,-7957.7,-10555,5.7448e+05,72107,1,-69052,1.3824e+05,-3.1027e+05,-68714,30086,-1.067e+05,37649,1.1495e+05,-1.8972e+05,4.3334e+05,367793,130,161,2501,-0.70447,1.8431,0.97053
12065,3050.6,6441.6,1427.2,-6466.1,-12350,5.8964e+05,73567,1,1.4968e+05,-66268,2.4319e+05,60714,11933,24439,26991,-80419,1.7576e+05,3.584e+05,367510,130,162,2502,-0.71791,1.8442,0.9584
11115,2372.5,6328.9,1181.4,-6459.9,-11229,5.7698e+05,73565,1,-57043,-1.7052e+05,2.8922e+05,-39089,-8644.2,-11187,-3067.9,-1.6028e+05,3.0811e+05,4.882e+05,367911,130,161,2501,-0.70658,1.8486,0.9584
