"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-1585.7,1493.6,5180.5,-62.934,-5419.4,1486.2,5.4667e+05,261617,1,11118,17921,53755,4993.7,-17240,-55074,24837,-27777,-92347,1.2886e+05,360429,225,756,4174,-0.13483,2.0898,-0.67051
-718.96,453.31,3133.3,-457.25,-3140.3,685.21,5.0016e+05,260115,1,-43471,16376,61785,-21164,-15144,-43144,-14733,-31222,-95845,1.3745e+05,361094,225,741,4171,-0.14794,2.093,-0.65765
84.682,1217.4,3622.2,68.693,-3817.5,-177.71,5.4293e+05,260117,1,-363.35,40973,1.2985e+05,-32686,-4168.5,-5428.1,-43972,-12274,-28102,1.501e+05,362095,225,741,4171,-0.16077,2.0921,-0.65765
-884.99,1314.6,4165.5,74.18,-4388.5,773.19,5.5881e+05,260119,1,53197,51128,1.4908e+05,-7273.3,3933.7,14487,-19504,-718.49,2723.1,1.6833e+05,363337,225,751,4173,-0.17361,2.0911,-0.65765
-1389.3,1395.6,4124.3,210.79,-4388.2,1259.8,5.6399e+05,260121,1,47919,47608,1.3809e+05,-5169.5,10990,36416,-421.63,11199,35828,1.6283e+05,362993,225,748,4172,-0.18644,2.09,-0.65765
-2445.6,1082.5,3655.9,156.52,-3880.4,2331.7,5.6551e+05,260123,1,77187,33305,82991,18672,20330,59398,18403,32015,97014,1.7035e+05,363451,225,748,4172,-0.19926,2.0888,-0.65765
-2986,949.36,3559.7,84.672,-3764.8,2882.3,5.609e+05,261627,1,27228,8711.9,18989,17013,3398.2,5451.9,33416,4775.8,4854.4,51687,350233,225,748,4172,-0.19887,2.0847,-0.67051
-1002.2,1642.4,5512.4,-63.806,-5767.6,904.81,5.519e+05,261615,1,43832,15379,39660,-831.09,-21359,-66775,-8813.2,-40329,-1.2505e+05,1.6121e+05,362879,225,756,4174,-0.122,2.0906,-0.67051
-2158,2277.4,6345.1,308.6,-6776.5,2021.7,5.7823e+05,263117,1,48653,28030,76951,23491,5308,11485,38663,9719.9,21974,1.089e+05,358650,225,756,4174,-0.12176,2.0865,-0.68334
-3276.2,705.14,3102.8,17.27,-3270.1,3188.2,5.5667e+05,263131,1,9395.5,-3304.8,-12850,13374,1257.3,-283.73,31233,3845.2,2057,37939,346564,225,748,4172,-0.21124,2.0793,-0.68334
