"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
218.45,3901,893.75,-897.06,-2765.6,-2758.8,4.836e+05,651913,1,-2.3076e+05,1.6717e+05,-43204,1.9047e+05,-1.3083e+05,39249,-20941,14668,-4293.6,3.7239e+05,367544,487,1667,542,-0.95943,-0.86014,1.7818
237.32,3669.4,865.41,-811.87,-2636,-2581.1,4.7569e+05,650437,1,-1.3503e+05,1.5539e+05,1938.7,1.6012e+05,-1.8261e+05,-1550.4,729.09,-3512.7,-1399.3,3.1841e+05,367206,487,1657,540,-0.95093,-0.84771,1.7923
922.35,3293.9,1190.1,-754.4,-3033.7,-1828.8,4.8004e+05,653387,1,-1.8328e+05,98778,-51374,1.3398e+05,-64949,41230,-51101,21738,-17228,2.7062e+05,366691,487,1667,542,-0.9678,-0.87254,1.7712
2131.9,2143.2,1524.3,-548.11,-3335.5,-189.63,4.4642e+05,651911,1,-1.0904e+05,63231,-28720,1.0178e+05,-68208,22389,-43144,18703,-14478,1.8614e+05,364236,487,1667,542,-0.97034,-0.86014,1.7759
1877.5,2069.8,1255.4,-599.31,-2988.1,-311.5,4.4442e+05,650435,1,-1.0645e+05,83251,-17586,1.043e+05,-1.0175e+05,7668.5,-34718,19325,-9514.4,2.0379e+05,365013,487,1663,541,-0.96191,-0.84771,1.7864
2778.5,1292.3,1738.8,-319.56,-3404,851.06,4.0905e+05,650433,1,-48170,30411,-11655,45807,-48725,1673.9,-31147,10384,-12035,95284,356997,487,1663,541,-0.97286,-0.84771,1.7805
1972.8,1435.8,1062.3,-532.66,-2598,220.06,4.2984e+05,648957,1,-54028,66794,2461.8,51073,-98877,-18924,-25295,11937,-7899.4,1.4483e+05,361726,487,1657,540,-0.95335,-0.83524,1.7968
2655.2,923.34,1459,-326.89,-2973.6,1040.4,4.0087e+05,648955,1,-57814,38456,-12959,52711,-62941,-1256.5,-30758,11774,-11056,1.1374e+05,359032,487,1657,540,-0.96436,-0.83524,1.791
2936.8,1416.3,2006.4,-249.6,-3719.6,870.87,4.0251e+05,651909,1,-31825,16697,-9355.3,34361,-31580,3573.9,-27357,5988.7,-12211,67107,353028,487,1667,542,-0.98122,-0.86014,1.7699
2901,1156,2058.9,-82.014,-3598.4,1017.9,3.8138e+05,650431,1,9151.1,-10361,214.09,-4847.1,-6334.3,-5801,-13004,-302.12,-7321.1,22610,339755,487,1667,542,-0.98376,-0.84771,1.7745
2835.9,910.96,1834.8,-114.47,-3301,1152.7,3.742e+05,648953,1,4173.4,-6985.9,-912.17,-10853,-10298,-10802,-18239,3691.5,-8214,28659,342890,487,1652,539,-0.97533,-0.83524,1.785
2652.4,1156.1,2035.4,17.903,-3438.4,831.89,4.4487e+05,648951,1,11696,-12134,797.66,-12152,-2450.5,-7931.3,-11553,-1235.7,-6940.6,26161,341739,487,1652,539,-0.98627,-0.83524,1.779
2592.5,438.65,1278,-243.99,-2576.9,1358.9,3.814e+05,647475,1,-17566,14107,-2724.9,1134.4,-33938,-15067,-28148,13465,-8774.9,54275,350630,487,1657,540,-0.95574,-0.82275,1.8013
2666.4,619.94,1624.4,-77.928,-2923.9,1256,3.8174e+05,647473,1,-6119.6,-5068,-5539.4,-8127,-9362.3,-8764.1,-21285,6584.9,-8420.1,29860,343487,487,1652,539,-0.96677,-0.82275,1.7954
2384.6,446.78,1454.2,-9.4509,-2562,1198.7,4.1746e+05,645991,1,-4153.8,-11577,-7391,-16946,4438.8,-7043.6,-20588,9071.2,-6820.3,33393,344920,487,1649,538,-0.95809,-0.81022,1.8058
2579,942.77,1852.4,7.9648,-3176.4,939.09,4.3881e+05,647471,1,11513,-16718,-1390.5,-23557,6405.7,-9942.5,-11814,-936.65,-6861.3,36005,345865,487,1652,539,-0.97777,-0.82275,1.7895
