"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
546.54,-4586.8,-1416.1,-989.85,3981,-2552.4,5.1283e+05,573449,1,-39506,-28283,185.19,-84450,-1.7505e+05,-9340.9,20975,26185,476.05,2.0335e+05,364995,502,1451,976,0.1545,-0.18194,2.1859
779.38,-3520.5,-1672.3,-1321.8,3416.8,-1541.4,5.1601e+05,573447,1,51622,-68504,-9063.2,-1.1105e+05,-3.2884e+05,-21207,-15798,-8906.8,-124.77,3.5873e+05,367474,502,1450,975,0.14108,-0.18194,2.1868
-80.011,-1896.6,-1536,-1375.9,1654.1,-1154.9,5.185e+05,573445,1,35413,-27604,-4583.8,-54877,-3.8963e+05,-29846,-5848.6,-48651,-4099,4.0021e+05,367661,502,1450,975,0.12766,-0.18194,2.1876
-178.52,-2094,-1521.7,-1350.4,1819.1,-1264.7,5.1293e+05,573443,1,2868.4,-51574,-4528,10501,-3.3222e+05,-28863,-527.65,-24645,-2398.2,3.3855e+05,367358,502,1449,974,0.11424,-0.18194,2.1884
386.94,-1891.8,-1342.7,-1162.4,1961.1,-578.44,5.0882e+05,573441,1,205.43,-73029,-6011.1,61723,-3.8004e+05,-35257,-1536.4,-66265,-5769.6,3.991e+05,367656,502,1449,974,0.10081,-0.18194,2.189
-440.91,-3379.3,-1283.5,-1016,2961.1,-1860.4,5.1367e+05,573439,1,7678.9,-1.3352e+05,-11475,-4099.4,-2.5625e+05,-21772,-3713.8,-7824.5,-731.41,2.9025e+05,366939,502,1445,973,0.087375,-0.18194,2.1896
1377.8,-4777.6,-434.34,39.549,4377.5,-2397.6,5.5801e+05,571917,1,-1761.3,81711,6479.3,-10896,5413.1,1215.9,9893.3,5629.5,-269.54,83672,355529,502,1451,976,0.16799,-0.16849,2.186
1079.8,-4469.3,-335.3,84.889,4036.4,-2225.7,5.5718e+05,571915,1,21372,48786,2205.3,-32585,1297.1,2376,-3214.3,29132,2586.1,69112,353357,502,1451,976,0.15458,-0.16849,2.187
782.53,-3909.9,-348.65,2.9155,3517,-1911,5.6101e+05,571913,1,24628,31248,812.25,-47071,-13138,2060.4,6021.9,54594,3978.5,83718,355534,502,1451,976,0.14115,-0.16849,2.1879
138.59,-3418.5,-400.51,-128.66,2833.4,-1954.7,5.5891e+05,571911,1,49016,24932,-1054.5,-24073,-60408,-3268,-2652.8,52965,4379.5,1.0048e+05,357602,502,1433,970,0.12773,-0.16849,2.1887
-757.48,-3647.8,-332.44,-90.882,2613.1,-2674.6,5.6022e+05,571909,1,70967,-34054,-6521.4,7261,-65379,-5548.8,-4968.4,52194,4369.7,1.156e+05,359215,502,1433,970,0.11429,-0.16849,2.1895
-879.97,-3461.8,-454.11,-227.41,2548.8,-2533.1,5.5185e+05,571907,1,61369,-1.2113e+05,-11973,22545,-56889,-5437,-6148.4,56100,4639.6,1.5988e+05,362777,502,1440,972,0.10086,-0.16849,2.1901
-2762.7,-4390.7,-63.64,163.19,2620.7,-4474.4,5.5664e+05,571905,1,59417,-1.6675e+05,-15263,-12507,15572,1257.1,1888.4,62804,4859.7,1.8958e+05,364387,502,1440,972,0.087418,-0.16849,2.1907
2164.5,-4633.6,-441.29,66.66,4675.8,-2117.2,5.5956e+05,570383,1,18626,61986,2777,21609,35695,613.06,739.66,4536.2,246.14,77198,354636,502,1434,971,0.18148,-0.15503,2.1859
