"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-1449.5,3720.2,2822.9,419.86,-2976.9,-3856.4,5.9821e+05,686477,1,55441,-48982,29138,-29417,24863,-16773,47207,-43681,22762,1.1288e+05,358947,139,1736,1107,-1.5627,-1.1478,1.0372
-1790.6,4075,2248.1,201.24,-2436.5,-4346.1,5.9745e+05,686475,1,22190,-18831,12704,-20276,17475,-11336,40236,-35612,21506,72132,353834,139,1736,1107,-1.569,-1.1478,1.0276
-1852.8,4150.1,2097,170.01,-2289.4,-4447.8,5.977e+05,685063,1,10605,-13996,601.01,-20900,19757,-9823.2,30830,-31621,11811,57638,351241,139,1731,1105,-1.5685,-1.1362,1.0411
-1808.7,4212,1935.8,27.028,-2177.6,-4474.1,5.9647e+05,685061,1,2785,-3270.9,604.78,-6376.2,7394.7,-1527.9,15185,-15188,6357.2,24863,341043,139,1731,1105,-1.5749,-1.1362,1.0315
-1412.8,3609.1,2680.6,454.51,-2811.8,-3754.2,5.9888e+05,683651,1,83951,-65197,53798,-38759,29309,-25933,65987,-51372,42351,1.6129e+05,362873,139,1732,1106,-1.5613,-1.1247,1.0642
-1922.2,4159.7,2034.7,218.81,-2199.2,-4500.4,5.9791e+05,683649,1,25854,-20506,16322,-23873,18254,-15918,34502,-27937,21325,70267,353545,139,1732,1106,-1.5678,-1.1247,1.0546
-1829.6,4266.1,1876.5,19.621,-2122.1,-4534.8,5.9725e+05,683647,1,-2918.1,651.67,-3681.4,-4091.1,3936.6,-1887,9351.6,-8550,4840.5,15565,334429,139,1731,1105,-1.5743,-1.1247,1.0449
-1808.6,4239.8,1848.9,2.058,-2094.6,-4503.1,5.9415e+05,683645,1,-770.31,-73.161,-1254,846.16,1360.8,2770.4,2967.6,-4361.6,-204.6,6347.1,307394,139,1731,1105,-1.5807,-1.1247,1.0353
-1793.5,4204.7,1836.5,0.32369,-2075.9,-4467.6,5.9119e+05,683643,1,-658.94,-141.16,-1172.5,964.58,1186.3,2794.4,2787.1,-3954.5,-37.673,5948.3,303312,139,1736,1107,-1.587,-1.1247,1.0255
-1987.4,4108.1,2051.4,333.25,-2161.7,-4500,5.984e+05,682233,1,36173,-18385,33515,-27343,17893,-21354,39660,-25585,31303,86608,355889,139,1732,1106,-1.567,-1.1131,1.068
-1855.4,4310.5,1832,27.6,-2074.9,-4590.6,5.977e+05,682231,1,-4164.7,1893.9,-4170.9,-5565.4,4830.4,-3128.3,8610.5,-7670.3,4680.4,16041,334858,139,1732,1106,-1.5735,-1.1131,1.0584
-1827.1,4291,1804.4,1.3731,-2052.2,-4560.2,5.9514e+05,682229,1,-1923.8,662.84,-2181.1,-1074.5,2642.2,1213.2,4769.6,-5442.1,1373.8,8529.8,319561,139,1732,1106,-1.58,-1.1131,1.0487
-1811.8,4255.9,1793.1,0.11223,-2034.5,-4524.5,5.9202e+05,682227,1,-609.87,-207.36,-1151.4,1179.8,1005.7,2874,2201.2,-3483,-366.69,5432.8,298292,139,1731,1105,-1.5864,-1.1131,1.039
-1796.8,4220.1,1783.2,0.020689,-2017.9,-4488.4,5.868e+05,682225,1,-594.36,-213.35,-1150.4,1187,979.75,2896.6,2160.2,-3417.2,-352.79,5380.5,297779,139,1736,1107,-1.5928,-1.1131,1.0293
-2016.2,3952.7,2113.8,495.73,-2147.7,-4393,5.9935e+05,680813,1,55709,-32035,47339,-38288,27641,-27211,55964,-36387,43644,1.2531e+05,360164,139,1724,1104,-1.566,-1.1014,1.0815
-1885.5,4344.3,1799.8,49.82,-2033.4,-4640.1,5.9837e+05,680811,1,8939.6,-8099.4,4657.3,-19263,15241,-12447,22717,-19229,13387,44615,348414,139,1724,1104,-1.5726,-1.1014,1.0719
-1846.3,4341.3,1761.4,2.291,-2010.4,-4617,5.957e+05,680809,1,-2466.8,1201.5,-2402.1,-2148.3,3583.5,553.5,5143,-5815.7,1587.2,9687.8,323681,139,1732,1106,-1.5792,-1.1014,1.0622
-1830.2,4306.9,1749.9,0.073813,-1993,-4581.4,5.9289e+05,680807,1,-798.71,-78.421,-1283.7,979.04,1157.4,2691.4,2398,-3622.2,-189.17,5544.4,299322,139,1732,1106,-1.5857,-1.1014,1.0525
-1794.2,3672.5,2067.8,545.34,-2077.3,-4045.9,6.0009e+05,676527,1,74230,-32182,73462,-35950,14560,-36795,60693,-30373,56234,1.5023e+05,362112,139,1717,1103,-1.5689,-1.0662,1.1122
-1699.4,3669.1,2278.5,525.7,-2325.6,-3982.1,5.9972e+05,679389,1,82706,-59979,57876,-40771,26673,-31788,67745,-47975,48711,1.6259e+05,362961,139,1724,1104,-1.5649,-1.0897,1.0949
-2104.7,4141.4,1888,416.22,-1939.5,-4605.5,5.9938e+05,677959,1,39132,-20279,35683,-32203,17133,-29110,41637,-23968,35813,94787,356933,139,1717,1103,-1.5703,-1.078,1.0988
-1949,4328.9,1799.6,135.96,-1992.1,-4667.9,5.9801e+05,679387,1,19240,-14629,12950,-27153,16876,-22228,30773,-22412,21850,64767,352565,139,1724,1104,-1.5716,-1.0897,1.0853
-1781.8,4184.1,1773.4,0.010466,-2001.5,-4452.1,5.8012e+05,682223,1,-587.66,-213.11,-1154.4,1188.5,964.19,2916.9,2125.6,-3388.9,-365.91,5361,297567,139,1736,1107,-1.599,-1.1131,1.0195
-1815.2,4271.2,1739.9,0.0057203,-1976.3,-4545.3,5.8844e+05,680805,1,-595.88,-219.34,-1142.3,1210.9,973.02,2878.1,2114.9,-3410.2,-368.67,5351.9,297464,139,1597,1092,-1.5921,-1.1014,1.0427
-1800.2,4235.2,1730.1,0.0038661,-1959.8,-4508.9,5.8038e+05,680803,1,-592.75,-215.82,-1148.5,1205.8,963.7,2895.6,2109.8,-3409,-363.86,5356.2,297519,139,1597,1092,-1.5985,-1.1014,1.0329
-1785.2,4199.1,1720.3,0.0046237,-1943.5,-4472.3,5.7992e+05,680801,1,-589.64,-212.55,-1154.2,1197.2,958.03,2911.6,2112.9,-3404.8,-359.85,5361,297566,139,1597,1092,-1.6048,-1.1014,1.0231
-1866.1,4390,1719.7,5.025,-1968.9,-4672.8,5.9715e+05,679385,1,-2300.2,838.41,-2520.2,-1116.1,2430.4,834.76,3884.8,-4582.4,1055.3,7576.2,314973,139,1724,1104,-1.5782,-1.0897,1.0757
