"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
2536.3,-737.26,982.94,34.241,-2609.6,-1063.6,5.616e+05,493695,1,14598,5672.4,2948.7,-11426,-4867.8,-2199.8,2259.2,3248.1,-121.67,20706,338608,143,1169,1217,-0.6143,0.51463,2.0477
2560.5,-795.84,1012.6,36.26,-2660,-1066.7,5.6471e+05,492179,1,16013,667,4595.6,-13648,-4007.2,-3035.1,-888.23,1259.4,-574.59,22186,339494,143,1161,1216,-0.61338,0.52774,2.0446
2473.3,-684.8,942.92,6.76,-2515.7,-1070.7,5.8243e+05,492177,1,4322.3,4543,143.39,-8870.5,-3332.5,-1861.7,3769.9,2380.4,537.25,12360,330451,143,1169,1217,-0.62591,0.52774,2.0408
2097.5,-1217.9,679.38,-226.78,-2453,-524.85,4.6412e+05,490667,1,-74151,-7849.5,-19120,4882.5,80.427,1320.7,-21585,-1318.7,-5835.5,80329,355056,143,1161,1216,-0.58734,0.54083,2.0488
2808,-1069.8,957.57,-138.56,-2957.8,-1085.7,4.9968e+05,490665,1,-9834,-227.68,-2725.7,-14390,-2199.6,-3665.5,-10939,44.614,-3201.7,21435,339057,143,1161,1216,-0.5999,0.54083,2.0452
2581.2,-842.06,1025.5,26.085,-2694.8,-1077.4,5.6607e+05,490663,1,10254,2733.2,2330.7,-13058,-1188.5,-3595.2,-623.1,1180.5,-482.61,17462,336091,143,1161,1216,-0.61244,0.54083,2.0415
2552.4,-711.96,974.54,2.5573,-2586.5,-1131.9,5.8465e+05,490661,1,2308.4,3885.4,-323.05,-8326.3,-1368.3,-2187.8,2862.3,1922.7,362.87,10418,325714,143,1169,1217,-0.62495,0.54083,2.0377
2526.4,-599.13,948.95,-2.0297,-2501,-1177.6,5.8637e+05,490659,1,2276.7,4368.1,-438.4,-8016.9,-2990.5,-1717.6,1825.3,2430.6,-71.99,10482,325928,143,1169,1217,-0.63744,0.54083,2.0338
2494.3,-504.7,931.04,-1.8865,-2425.9,-1207.5,5.8865e+05,490657,1,2736.7,2624.1,179.37,-8421.2,-2379.2,-2065.8,1629.3,1953.8,0.76234,10086,324748,143,1160,1215,-0.64991,0.54083,2.0298
1969,-1199.1,639.92,-231.86,-2332.4,-480.3,4.7717e+05,489153,1,-82602,-10922,-20659,7892.7,5743,636.04,-22833,-4274.1,-5385.3,89629,356302,143,1161,1216,-0.58642,0.5539,2.0456
2842.4,-1068.2,954.38,-157.06,-2965.5,-1145.6,5.0949e+05,489151,1,-30021,-1821.7,-8160.3,-12563,4444.8,-4909.6,-16077,-1843.3,-4175.7,38108,346581,143,1161,1216,-0.59896,0.5539,2.042
