"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
6041.5,5531.1,5410.1,32.288,-9707.2,1459.7,5.7506e+05,665151,1,2436.8,-28808,-14334,-58038,23590,-10900,-32285,-3292.4,-14790,79730,354981,56,1549,600,-0.73827,-0.97053,1.8298
5739.5,5857.1,5406.5,26.851,-9775.2,960.84,5.7612e+05,663693,1,975.88,-19544,-9843.7,-52713,22958,-9258.3,-29116,855.62,-11310,69625,353434,56,1549,600,-0.74049,-0.9584,1.8353
6086.1,6244.1,5855.6,30.164,-10455,1000.5,5.7543e+05,665149,1,5077.1,-29202,-13466,-53374,21233,-10596,-29408,-5771.5,-15140,74827,354285,56,1549,600,-0.74949,-0.97053,1.8252
5474.7,6230.4,5458.4,39.109,-9918.3,459.97,5.769e+05,662233,1,326.69,-13292,-6742.1,-51485,18889,-11009,-29154,779.91,-11349,65805,352777,56,1549,600,-0.74267,-0.94624,1.8407
5767.5,6478.8,5769.7,8.027,-10404,539.64,5.741e+05,663691,1,2433.3,-17262,-8017.4,-47317,19979,-8997.9,-25998,-44.692,-10708,62271,352090,56,1549,600,-0.75173,-0.9584,1.8307
6066.4,6856.9,6239.9,41.377,-11066,544.78,5.7716e+05,665147,1,8942.3,-29381,-11943,-44582,17892,-9098.5,-23288,-8288.4,-14161,65482,352718,56,1549,600,-0.76067,-0.97053,1.8206
5730.6,7048.6,6107.7,11.601,-10946,93.458,5.7491e+05,663689,1,7324.8,-18001,-6417.6,-43095,14654,-10260,-23032,-4693.1,-12075,57397,351197,56,1549,600,-0.76295,-0.9584,1.8261
5371,6391.7,5423.9,19.189,-9953.6,214.29,5.728e+05,660771,1,5610.1,-5715.3,-639.7,-49958,14467,-12842,-25935,1726,-9600.7,60847,351827,56,1549,600,-0.74483,-0.93405,1.8461
5532.3,6835.4,5828,28.113,-10549,67.236,5.7581e+05,662231,1,1178.4,-13762,-6602.8,-44900,16910,-9662.9,-24801,-544.53,-10421,57911,351296,56,1549,600,-0.75395,-0.94624,1.8361
5550.7,7288.7,6106.6,18.054,-11007,-267.1,5.7528e+05,662229,1,5509.4,-14698,-5274.9,-35522,15466,-6831.5,-19178,-1644.2,-8844.9,47651,349173,56,1549,600,-0.76521,-0.94624,1.8315
6024.8,7364.4,6548.7,42.902,-11550,131.62,5.7831e+05,665145,1,7219.1,-29945,-12962,-37874,15672,-7680.8,-19993,-9609.2,-13616,59442,351572,56,1549,600,-0.77183,-0.97053,1.8159
6028.3,7773.6,6814.4,35.143,-11965,-189.1,5.7866e+05,665143,1,7445,-31313,-13552,-30965,13939,-5872.2,-15976,-11155,-12847,54331,350644,56,1549,600,-0.78296,-0.97053,1.8111
5647.1,7498.8,6363.4,14.233,-11336,-318.91,5.7619e+05,663687,1,8157,-19552,-6867.3,-33764,10316,-8898,-17175,-8077,-11562,48120,349292,56,1549,600,-0.77414,-0.9584,1.8213
5305.1,7029.9,5766.6,18.762,-10523,-299.89,5.738e+05,660769,1,4885,-11394,-3793.8,-41808,11151,-11528,-21796,-3193.7,-10591,52637,350280,56,1549,600,-0.75615,-0.93405,1.8415
5322.4,6648.4,5506.9,41.333,-10142,-50.456,5.7373e+05,659307,1,8777.6,-4104.1,1513.4,-44397,18211,-8891.7,-21286,4948.4,-6138.7,54710,350708,56,1522,598,-0.74696,-0.92181,1.8513
5226.1,7168.4,5749.6,21.366,-10559,-518.04,5.7168e+05,659305,1,7420.6,-5810.3,142.72,-41890,15969,-9194.5,-20078,3579.8,-6446.5,51387,350034,56,1549,600,-0.75831,-0.92181,1.8467
5480.3,7633.5,6306,18.673,-11301,-605.52,5.7642e+05,662227,1,10168,-14956,-3399.6,-27648,11257,-5965,-13317,-3742.5,-7618.3,38920,346850,56,1549,600,-0.77643,-0.94624,1.8267
5290.4,7515.5,6056.2,19.983,-10986,-683.41,5.7446e+05,660767,1,5217.4,-13656,-4774,-33513,11176,-8284.2,-18360,-4290.9,-9839.4,44782,348456,56,1549,600,-0.76743,-0.93405,1.8368
5232.5,7863.3,6273.1,33.382,-11293,-1016.1,5.7597e+05,660765,1,10984,-14010,-2467.4,-25912,9551.8,-6110.9,-12250,-5863.7,-8167.3,37070,346237,56,1549,600,-0.77868,-0.93405,1.832
5274.8,6905.3,5553.7,35.875,-10308,-318.14,5.7236e+05,657841,1,11501,6739.2,7910.5,-46393,7203.9,-15140,-22400,1351.2,-8359.7,56984,351104,56,1522,598,-0.74906,-0.90955,1.8565
5699,8489.5,7013.2,629.64,-12335,-1085.8,5.6459e+05,654901,1,71817,-23445,17562,-1.0571e+05,-79463,-78595,-55490,-92052,-64716,2.1313e+05,365366,56,1522,598,-0.74172,-0.88491,1.8713
5051.2,1779.7,1395.1,-1194.8,-4666.1,2725.4,4.897e+05,653429,1,-20255,-1.5174e+05,-77944,-1.3155e+05,-2.4958e+05,-1.6726e+05,-76441,-1.9975e+05,-1.2274e+05,4.4485e+05,367813,56,1522,598,-0.73218,-0.87254,1.8809
5579.8,7885.7,6584.3,9.6576,-11671,-681.92,5.7639e+05,663685,1,9048.7,-19115,-6179,-27987,6391.9,-8729.3,-13516,-9759.3,-10994,42244,347822,56,1549,600,-0.7853,-0.9584,1.8166
