"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
52.25,2262.1,-1647,308.47,2491.3,-1237.3,5.8583e+05,388465,1,1.1891e+05,-60724,1.2747e+05,-21913,-15093,1303.2,82775,-32017,79049,2.2116e+05,365627,372,902,1811,-0.86256,1.3897,1.4696
-5080,2228.8,-5228.8,74.52,6992.4,3035.5,5.8803e+05,388455,1,42249,-43592,68576,239.5,-29969,29053,29219,157.18,18214,1.0638e+05,358250,372,901,1810,-0.90724,1.3897,1.4425
-308.54,2278.4,-1512.7,560.44,2533.4,-917.76,5.8651e+05,387171,1,90987,-85604,1.3421e+05,-9317.7,-23949,17612,69258,-29874,68539,2.1208e+05,365329,372,893,1809,-0.84924,1.4002,1.4675
-1123.5,2156.6,-2374.2,232.95,3386.4,-169.13,5.8617e+05,387169,1,68748,-73940,1.1104e+05,-7599.5,-12701,7710.8,60020,-34888,68473,1.7975e+05,363948,372,893,1809,-0.85823,1.4002,1.4622
-2624.8,2342.6,-3282.4,351.98,4693.8,998.06,5.8622e+05,387167,1,79303,-47809,93057,-15219,-19499,9771.6,65194,-17739,55799,1.6006e+05,362785,372,902,1811,-0.86719,1.4002,1.4569
-3488.6,2293.5,-4048.8,177.58,5546.3,1740.8,5.8712e+05,387165,1,44281,-44819,70046,-697.58,-25674,24409,42930,-5109.3,30849,1.1381e+05,359041,372,902,1811,-0.87611,1.4002,1.4516
-4263,2104,-4500.9,95.339,6058.2,2479.4,5.8856e+05,387163,1,42601,-46579,71162,3151.3,-29309,30328,32441,-2359.4,22113,1.1128e+05,358762,372,902,1811,-0.885,1.4002,1.4462
-5017.5,1908.2,-4864.7,67.321,6497.8,3202.4,5.8919e+05,387161,1,41086,-42178,66402,1090.9,-29227,29056,28963,-5.1378,17947,1.0362e+05,357952,372,901,1810,-0.89386,1.4002,1.4407
-5714.3,1740.2,-5195.1,63.056,6911.5,3859.8,5.8856e+05,387159,1,34630,-28386,49423,-2760,-26061,23694,27941,4001.7,13638,81722,355260,372,901,1810,-0.90268,1.4002,1.4352
-6269.6,1668.1,-5538.3,60.17,7340.7,4344.3,5.8737e+05,387157,1,31105,-14405,33848,-6386.7,-20003,15493,29456,6922,11973,63723,352351,372,901,1810,-0.91147,1.4002,1.4296
-2312.1,1693.2,-2759.8,158.11,3819.9,1101.2,5.8652e+05,385881,1,71274,-51976,92235,-23231,-26782,12299,67854,-10800,50240,1.5793e+05,362660,372,877,1808,-0.85387,1.4106,1.4548
-3496.8,1853.6,-3550.5,220.61,4915,2015.8,5.8518e+05,385879,1,61505,-54063,89188,-13438,-24917,16274,53150,-11849,43114,1.4336e+05,361606,372,902,1811,-0.86278,1.4106,1.4495
-4350.5,1759.9,-4161.7,120.17,5623.6,2775.8,5.8619e+05,385877,1,43002,-50569,75248,18.547,-26344,25728,41834,-8816.6,33748,1.1996e+05,359644,372,902,1811,-0.87165,1.4106,1.4442
-5073.4,1527.7,-4516.9,55.946,6021.5,3494.7,5.8745e+05,385875,1,32609,-36208,55385,2619.8,-24975,26037,25511,-1547.9,17118,87730,356049,372,902,1811,-0.8805,1.4106,1.4388
-5629.8,1397.1,-4817.9,32.517,6381.2,4017.2,5.8737e+05,385873,1,29622,-17780,35836,-1811.9,-20005,18519,24749,5454,10004,62981,352215,372,902,1811,-0.88931,1.4106,1.4334
-6016.4,1343.7,-5077.4,22.077,6695.5,4353.4,5.8642e+05,385871,1,25128,-3230.2,18967,-5740.6,-15072,11234,25435,9744.7,6393.3,46591,348936,372,901,1810,-0.89809,1.4106,1.4279
-6276.4,1365.2,-5327.3,18.217,7001,4541.2,5.8498e+05,385869,1,24148,5391.4,10016,-9242.3,-12474,6440.2,27570,12727,4957.6,44064,348267,372,901,1810,-0.90683,1.4106,1.4224
-6549.4,1433.4,-5613.8,29.346,7365.3,4713.2,5.8265e+05,385867,1,24913,9018.8,7073.7,-10500,-12167,5297.1,29981,15286,4148.5,46777,348982,372,901,1810,-0.91554,1.4106,1.4168
-3050.1,1314.7,-2739.2,224.95,3835.1,1943.3,5.8685e+05,384601,1,94104,-40541,95076,-26328,-23036,7188.2,77383,3266.9,42216,1.691e+05,363354,372,877,1808,-0.84947,1.4209,1.4473
-4526.1,1465.7,-3698.5,288.39,5149.6,3116.2,5.8612e+05,384599,1,67074,-43497,82600,-12309,-21198,13601,63609,-2906.6,40646,1.4038e+05,361397,372,877,1808,-0.85833,1.4209,1.4421
-5208.4,1341.7,-4306.6,107.02,5781.4,3746.8,5.8644e+05,384597,1,26834,-30399,46201,2893.8,-18042,19582,30106,-3192.1,21300,76592,354559,372,902,1811,-0.86717,1.4209,1.4368
-5547.5,1207.2,-4552.4,26.508,6019.8,4088.7,5.8705e+05,384595,1,16896,-19242,29382,2013.3,-14245,15336,17003,-432.13,10811,48655,349426,372,902,1811,-0.87596,1.4209,1.4314
-5821,1141.5,-4721.5,17.732,6217.8,4338,5.8567e+05,384593,1,14246,-6161,14890,-2901,-9833,7959.3,16163,3792.2,6227.5,30749,343854,372,902,1811,-0.88473,1.4209,1.426
-5977.8,1165,-4904,13.549,6436.1,4440.4,5.8456e+05,384591,1,16330,3267.7,6931,-5655.1,-8098.6,4497.8,20172,8405.1,4273.3,30643,343812,372,902,1811,-0.89346,1.4209,1.4206
-6079.4,1229.9,-5090.7,12.999,6661.7,4473.1,5.8279e+05,384589,1,17421,12772,-1725.5,-7076,-6404.3,1905.3,21814,13051,810.83,34802,345483,372,901,1810,-0.90216,1.4209,1.415
-6221.5,1288.2,-5287.6,20.201,6905.8,4542.6,5.8077e+05,384587,1,23573,20224,-5131.9,-8462.1,-7329.4,1903.9,26719,18647,-1493.1,46731,348969,372,868,1805,-0.91083,1.4209,1.4095
-6440.2,1351.1,-5531.7,34.272,7215.6,4672.8,5.7911e+05,384585,1,30081,25131,-5771.7,-8652.4,-7837.4,2263.5,30520,22317,-2611.4,56102,350932,372,868,1805,-0.91946,1.4209,1.4039
-3746.2,878.26,-2644.3,279.88,3741,2779.3,5.8716e+05,383329,1,1.02e+05,-43341,1.0294e+05,-28871,-22548,5420.2,80232,-2102.8,49256,1.8198e+05,364041,372,877,1808,-0.84504,1.4311,1.4397
-5219.6,1114.5,-3733.2,316.67,5198.5,3911.5,5.8677e+05,383327,1,60408,-37282,72980,-19130,-19344,7994.2,69435,-6160.3,47368,1.3517e+05,361008,372,877,1808,-0.85386,1.4311,1.4345
-5620,1055.4,-4321.6,82.63,5757.5,4268.4,5.8703e+05,383325,1,13850,-15783,24044,-4427.8,-12843,10167,33499,-303.55,20435,53356,350441,372,877,1808,-0.86264,1.4311,1.4293
-5752.9,1024.6,-4531.8,11.959,5957.4,4380.8,5.8822e+05,383323,1,10415,-5105.1,11428,-880.66,-7543,6991.5,15954,2438.4,7293.4,26179,341744,372,902,1811,-0.8714,1.4311,1.424
-5771.2,1066.1,-4650.4,3.7089,6089.5,4357.5,5.8534e+05,383321,1,3032.9,6040.6,-4236.3,-5112.1,-2645.7,-504.29,11169,4936.5,1929.9,15807,334647,372,873,1806,-0.88012,1.4311,1.4186
-5775.5,1114.5,-4754.4,4.3467,6209.3,4318.3,5.816e+05,383319,1,8323,10080,-4972.1,-4542.8,-2826.8,0.6221,13643,7872.1,612.5,21742,339249,372,901,1810,-0.88881,1.4311,1.4132
