"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
2,49,3,-1.0809,1.8677,0.42237
0,50,3,-0.040276,-1.8751,1.1478
1,50,3,-0.028661,-1.8683,1.1593
0,51,3,-0.62221,2.074,-0.38257
1,51,3,-0.6356,2.0724,-0.36928
2,51,3,-0.64961,2.0726,-0.34265
0,52,3,-0.31697,-2.0092,0.83524
1,52,3,-0.35209,-1.9928,0.86014
2,52,3,-0.38769,-1.9808,0.87254
0,53,3,0.076154,1.9084,-1.0897
1,53,3,0.11165,1.9133,-1.078
0,54,3,1.1097,1.2472,1.4311
1,54,3,1.0943,1.2608,1.4311
2,54,3,1.0962,1.2474,1.4414
0,55,3,-1.8082,1.1593,-0.47067
1,55,3,-1.8139,1.1593,-0.44844
2,55,3,-1.8069,1.1707,-0.44673
0,56,3,-0.077196,1.9345,-1.0425
1,56,3,-0.017992,1.9548,-1.0067
2,56,3,-0.018049,1.961,-0.99467
0,57,3,0.24363,1.4002,-1.6779
1,57,3,0.23333,1.4002,-1.6793
2,57,3,0.23684,1.3687,-1.7046
0,58,3,-0.43735,1.7235,1.2936
1,58,3,-0.38494,1.7912,1.216
0,59,3,-0.95522,1.4515,1.3475
1,59,3,-0.92015,1.4717,1.35
2,59,3,-0.93353,1.4616,1.3518
0,60,3,1.3428,1.7098,0.32932
1,60,3,1.3579,1.7074,0.27586
2,60,3,1.3463,1.7143,0.28924
0,61,3,1.0207,1.0425,-1.6452
1,61,3,1.0408,1.0425,-1.6325
2,61,3,1.0543,1.0306,-1.6314
0,62,3,-1.4024,-0.56694,-1.5959
1,62,3,-1.4024,-0.56694,-1.5959
2,62,3,-1.385,-0.5539,-1.6156
0,63,3,-0.057465,2.0807,-0.70894
1,63,3,-0.057584,2.085,-0.69616
2,63,3,-0.057701,2.0892,-0.68334
0,64,3,2.0676,-0.044411,-0.74713
1,64,3,2.068,-0.019035,-0.74713
2,64,3,2.077,-0.019118,-0.7217
0,65,3,0.92289,-1.1362,1.6408
1,65,3,0.92629,-1.1247,1.6469
2,65,3,0.92629,-1.1247,1.6469
0,66,3,1.2983,-1.6324,-0.69616
1,66,3,1.2956,-1.6291,-0.70894
2,66,3,1.2732,-1.6627,-0.67051
0,67,3,-1.2826,-1.0544,1.4416
1,67,3,-1.2985,-0.98262,1.4776
2,67,3,-1.349,-0.90955,1.4792
0,68,3,0.32783,2.1643,-0.20881
1,68,3,0.30142,2.1694,-0.19538
2,68,3,0.28825,2.1723,-0.18194
0,69,3,-1.2308,-1.7591,0.4752
1,69,3,-1.2853,-1.7002,0.54083
2,69,3,-1.1985,-1.7584,0.5539
0,70,3,-1.5546,1.5015,0.40466
1,70,3,-1.5571,1.5015,0.39511
2,70,3,-1.5739,1.3261,0.77418
0,71,3,-1.392,0.67051,1.5646
1,71,3,-1.5091,0.64476,1.4635
2,71,3,-1.5091,0.64476,1.4635
0,72,3,0.15157,2.1445,0.46201
1,72,3,0.16405,2.1346,0.50151
2,72,3,0.13784,2.1365,0.50151
0,73,3,-0.20902,2.0575,-0.74713
1,73,3,-0.20948,2.062,-0.73443
0,74,3,-0.1182,-2.0255,0.84771
1,74,3,-0.1179,-2.0202,0.86014
2,74,3,-0.093096,-2.0215,0.86014
0,75,3,0.25876,1.95,0.98262
1,75,3,0.25796,1.944,0.99467
2,75,3,0.23481,1.9531,0.98262
0,76,3,-0.95533,1.9125,-0.51463
1,76,3,-0.9132,1.9462,-0.46201
2,76,3,-0.94629,1.9238,-0.48836
0,77,3,-0.88983,1.7544,0.98262
1,77,3,-0.8978,1.7435,0.99467
2,77,3,-0.8815,1.7379,1.0187
0,78,3,-0.43936,1.3897,1.6464
1,78,3,-0.45169,1.3793,1.6519
2,78,3,-0.47722,1.4002,1.6269
0,79,3,-1.7951,1.2495,0.22699
1,79,3,-1.8012,1.2384,0.23901
2,79,3,-1.7874,1.2606,0.22603
0,80,3,-1.0407,1.9328,0.1281
1,80,3,-1.0169,1.9454,0.1281
2,80,3,-1.0176,1.9466,0.10116
0,81,3,0.9941,1.9599,-0.074193
1,81,3,1.0181,1.9476,-0.074193
0,82,3,0.57107,0.84771,-1.9469
1,82,3,0.5815,0.86014,-1.9383
