"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
1,14,3,1.4228,-0.4356,-1.619
1,14,3,1.4344,-0.42236,-1.6122
2,14,3,1.4344,-0.42236,-1.6122
2,14,3,1.4344,-0.42236,-1.6122
3,14,3,1.4344,-0.42236,-1.6122
3,14,3,1.446,-0.40912,-1.6053
4,14,3,1.446,-0.40912,-1.6053
4,14,3,1.446,-0.40912,-1.6053
0,15,3,-1.3019,1.1935,1.3099
0,15,3,-1.3019,1.1935,1.3099
1,15,3,-1.3019,1.1935,1.3099
1,15,3,-1.3546,1.1821,1.2661
2,15,3,-1.3546,1.1821,1.2661
2,15,3,-1.3546,1.1821,1.2661
3,15,3,-1.3546,1.1821,1.2661
3,15,3,-1.4117,1.1247,1.256
4,15,3,-1.4117,1.1247,1.256
4,15,3,-1.4117,1.1247,1.256
0,16,3,-0.67684,-0.30261,2.0701
0,16,3,-0.67684,-0.30261,2.0701
1,16,3,-0.67684,-0.30261,2.0701
1,16,3,-0.62472,-0.32932,2.0824
2,16,3,-0.62472,-0.32932,2.0824
2,16,3,-0.62472,-0.32932,2.0824
3,16,3,-0.62472,-0.32932,2.0824
3,16,3,-0.72546,-0.34265,2.0473
4,16,3,-0.72546,-0.34265,2.0473
4,16,3,-0.72546,-0.34265,2.0473
0,17,3,-1.451,0.060708,1.6511
0,17,3,-1.451,0.060708,1.6511
1,17,3,-1.451,0.060708,1.6511
1,17,3,-1.4306,0.060708,1.6688
0,18,3,1.0753,1.9118,-0.15503
0,18,3,1.0753,1.9118,-0.15503
1,18,3,1.0753,1.9118,-0.15503
1,18,3,1.0399,1.9312,-0.15503
2,18,3,1.0399,1.9312,-0.15503
2,18,3,1.0399,1.9312,-0.15503
3,18,3,1.0399,1.9312,-0.15503
3,18,3,1.028,1.9376,-0.15503
4,18,3,1.028,1.9376,-0.15503
4,18,3,1.028,1.9376,-0.15503
0,19,3,-0.92737,1.9764,0.26247
0,19,3,-0.92737,1.9764,0.26247
1,19,3,-0.92737,1.9764,0.26247
1,19,3,-0.95224,1.9663,0.24907
2,19,3,-0.95224,1.9663,0.24907
2,19,3,-0.95224,1.9663,0.24907
3,19,3,-0.95224,1.9663,0.24907
3,19,3,-0.99017,1.9522,0.20882
4,19,3,-0.99017,1.9522,0.20882
4,19,3,-0.99017,1.9522,0.20882
0,20,3,-0.55358,-0.074193,2.1268
0,20,3,-0.55358,-0.074193,2.1268
1,20,3,-0.55358,-0.074193,2.1268
1,20,3,-0.5404,-0.087676,2.1297
0,21,3,-0.57853,-0.15503,2.1158
0,21,3,-0.57853,-0.15503,2.1158
1,21,3,-0.57853,-0.15503,2.1158
1,21,3,-0.56577,-0.14157,2.1201
2,21,3,-0.56577,-0.14157,2.1201
2,21,3,-0.56577,-0.14157,2.1201
3,21,3,-0.56577,-0.14157,2.1201
3,21,3,-0.57918,-0.11463,2.1181
4,21,3,-0.57918,-0.11463,2.1181
4,21,3,-0.57918,-0.11463,2.1181
0,22,3,-0.632,1.9739,0.73443
0,22,3,-0.632,1.9739,0.73443
1,22,3,-0.632,1.9739,0.73443
1,22,3,-0.64685,1.9784,0.70894
2,22,3,-0.64685,1.9784,0.70894
2,22,3,-0.64685,1.9784,0.70894
3,22,3,-0.64685,1.9784,0.70894
3,22,3,-0.65618,1.966,0.73443
4,22,3,-0.65618,1.966,0.73443
4,22,3,-0.65618,1.966,0.73443
0,23,3,0.16175,1.9482,-1.0067
0,23,3,0.16175,1.9482,-1.0067
1,23,3,0.16175,1.9482,-1.0067
1,23,3,0.21017,1.9498,-0.99467
2,23,3,0.21017,1.9498,-0.99467
2,23,3,0.21017,1.9498,-0.99467
3,23,3,0.21017,1.9498,-0.99467
3,23,3,0.22213,1.9484,-0.99467
4,23,3,0.22213,1.9484,-0.99467
4,23,3,0.22213,1.9484,-0.99467
0,24,3,-1.7735,1.2495,0.35843
0,24,3,-1.7735,1.2495,0.35843
1,24,3,-1.7735,1.2495,0.35843
1,24,3,-1.7757,1.2495,0.34754
0,25,3,1.119,-0.70894,-1.7551
0,25,3,1.119,-0.70894,-1.7551
1,25,3,1.119,-0.70894,-1.7551
1,25,3,1.0996,-0.69616,-1.7724
2,25,3,1.0996,-0.69616,-1.7724
2,25,3,1.0996,-0.69616,-1.7724
3,25,3,1.0996,-0.69616,-1.7724
3,25,3,1.0996,-0.69616,-1.7724
4,25,3,1.0996,-0.69616,-1.7724
4,25,3,1.0996,-0.69616,-1.7724
0,26,3,1.18,1.826,-0.32932
0,26,3,1.18,1.826,-0.32932
1,26,3,1.18,1.826,-0.32932
1,26,3,1.1472,1.8491,-0.31597
2,26,3,1.1472,1.8491,-0.31597
2,26,3,1.1472,1.8491,-0.31597
3,26,3,1.1472,1.8491,-0.31597
3,26,3,1.1541,1.8349,-0.36928
4,26,3,1.1541,1.8349,-0.36928
4,26,3,1.1541,1.8349,-0.36928
0,27,3,-0.36638,1.5641,1.5015
0,27,3,-0.36638,1.5641,1.5015
1,27,3,-0.36638,1.5641,1.5015
1,27,3,-0.37812,1.5707,1.4916
2,27,3,-0.37812,1.5707,1.4916
2,27,3,-0.37812,1.5707,1.4916
3,27,3,-0.37812,1.5707,1.4916
3,27,3,-0.36485,1.6018,1.4616
4,27,3,-0.36485,1.6018,1.4616
4,27,3,-0.36485,1.6018,1.4616
0,28,3,0.32969,1.5341,-1.5405
0,28,3,0.32969,1.5341,-1.5405
1,28,3,0.32969,1.5341,-1.5405
1,28,3,0.32969,1.5341,-1.5405
0,29,3,1.4734,-0.34265,-1.5959
0,29,3,1.4734,-0.34265,-1.5959
1,29,3,1.4734,-0.34265,-1.5959
1,29,3,1.4817,-0.35597,-1.5852
2,29,3,1.4817,-0.35597,-1.5852
2,29,3,1.4817,-0.35597,-1.5852
3,29,3,1.4817,-0.35597,-1.5852
3,29,3,1.4929,-0.34265,-1.5777
4,29,3,1.4929,-0.34265,-1.5777
4,29,3,1.4929,-0.34265,-1.5777
0,30,3,0.16807,-0.15503,2.187
0,30,3,0.16807,-0.15503,2.187
1,30,3,0.16807,-0.15503,2.187
1,30,3,0.14122,-0.15503,2.1889
2,30,3,0.14122,-0.15503,2.1889
2,30,3,0.14122,-0.15503,2.1889
3,30,3,0.14122,-0.15503,2.1889
3,30,3,0.15477,-0.1281,2.1897
4,30,3,0.15477,-0.1281,2.1897
4,30,3,0.15477,-0.1281,2.1897
0,31,3,-1.2804,1.4002,1.1114
0,31,3,-1.2804,1.4002,1.1114
1,31,3,-1.2804,1.4002,1.1114
1,31,3,-1.3005,1.3897,1.1011
2,31,3,-1.3005,1.3897,1.1011
2,31,3,-1.3005,1.3897,1.1011
3,31,3,-1.3005,1.3897,1.1011
3,31,3,-1.3072,1.4106,1.0661
4,31,3,-1.3072,1.4106,1.0661
4,31,3,-1.3072,1.4106,1.0661
0,32,3,-0.95092,-0.7217,1.8466
0,32,3,-0.95092,-0.7217,1.8466
1,32,3,-0.95092,-0.7217,1.8466
1,32,3,-0.93755,-0.73443,1.8484
2,32,3,-0.93755,-0.73443,1.8484
2,32,3,-0.93755,-0.73443,1.8484
3,32,3,-0.93755,-0.73443,1.8484
3,32,3,-0.92619,-0.73443,1.8542
4,32,3,-0.92619,-0.73443,1.8542
4,32,3,-0.92619,-0.73443,1.8542
0,33,3,-1.8734,-0.70894,0.90723
0,33,3,-1.8734,-0.70894,0.90723
1,33,3,-1.8734,-0.70894,0.90723
1,33,3,-1.8792,-0.67051,0.92431
2,33,3,-1.8792,-0.67051,0.92431
2,33,3,-1.8792,-0.67051,0.92431
3,33,3,-1.8792,-0.67051,0.92431
3,33,3,-1.8864,-0.64476,0.92787
4,33,3,-1.8864,-0.64476,0.92787
4,33,3,-1.8864,-0.64476,0.92787
0,34,3,-0.18335,-2.0553,0.75981
0,34,3,-0.18335,-2.0553,0.75981
1,34,3,-0.18335,-2.0553,0.75981
1,34,3,-0.18376,-2.0599,0.74713
0,35,3,1.2703,1.792,-0.10116
0,35,3,1.2703,1.792,-0.10116
1,35,3,1.2703,1.792,-0.10116
