"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
1201.1,-112.22,401.15,-259.81,-1027.6,701.9,4.7686e+05,628027,1,-2685.5,-21322,-9656.6,-18721,-72257,-38930,-8756.5,-37251,-19543,97408,357378,13,1612,641,-1.128,-0.65765,1.7693
1333.8,506.7,733.45,-254.53,-1567.5,228.24,4.7807e+05,628025,1,-6749.8,-23629,-13188,-23523,-73076,-42511,-13547,-44629,-25467,1.0631e+05,358409,13,1612,641,-1.1388,-0.65765,1.7623
986.65,-1018.5,155.45,-77.75,-371.75,1375.1,4.734e+05,626525,1,5435.6,-3546.3,2099.4,-7688.7,-28520,-15228,181.52,-3203,-1070.5,34094,345126,13,1612,641,-1.1192,-0.64476,1.7795
930.74,-797.21,174.98,-103.54,-436.79,1153.7,4.6758e+05,626523,1,1361.5,-9344.6,-2578,-15244,-33814,-22107,-4524.3,-8045.7,-5863.9,45606,348838,13,1612,641,-1.1301,-0.64476,1.7726
1041.5,-1244.1,182.23,-25.901,-347.21,1595.1,4.6714e+05,625019,1,4794.3,4727.2,4687.6,-12040,-13970,-12562,-2234.9,2195.8,-630.04,23988,340168,13,1612,641,-1.1213,-0.63185,1.7828
985.63,-468.92,243.22,-178.64,-648.76,893.15,4.6123e+05,626521,1,-4948.1,-16217,-9170.8,-21345,-44007,-29995,-7228.6,-16587,-10825,64094,352615,13,1612,641,-1.141,-0.64476,1.7657
1166.4,85.298,483.19,-249.53,-1137.4,495.29,4.6232e+05,626519,1,-9105.1,-24631,-15023,-33008,-53763,-41443,-17679,-29882,-22633,91272,356622,13,1607,640,-1.1518,-0.64476,1.7586
952.36,-997.83,226.04,-21.105,-412.23,1335.4,4.6192e+05,625017,1,3901.6,6404.1,4741.5,-13624,-12591,-13152,-2995.2,3092.1,-808.15,24800,340722,13,1612,641,-1.1322,-0.63185,1.7759
875.78,-736.29,264.63,-30.821,-487.26,1068.1,4.5389e+05,625015,1,394.32,776.18,484.63,-19834,-17594,-19135,-5842.6,1061.9,-3414.1,33421,344829,13,1607,640,-1.1431,-0.63185,1.769
1377.4,-1117.5,582,87.046,-894.98,1635.9,6.4952e+05,620497,1,6613.2,4440.7,5511.2,-1102.8,22355,6660.4,5028.8,12328,7130.4,29449,343078,13,1600,639,-1.1052,-0.59297,1.8061
1432.7,-755.34,757.68,101.26,-1186.4,1333.9,6.4466e+05,618985,1,8145.8,4193.3,6318.9,4331.5,23815,10294,7497.3,10460,7943.8,32318,344353,13,1600,639,-1.1071,-0.57997,1.8092
1148.5,-1364.4,232.27,-14.021,-417.74,1749.2,4.6149e+05,623511,1,3145.1,4737.3,3632.7,-10585,-1919,-7353.7,-1926,5182.1,577.94,15691,333854,13,1600,639,-1.1234,-0.61891,1.7861
867.64,-346.54,353.53,-72.476,-687.95,720.66,4.5091e+05,625013,1,-3000.7,-6785.5,-4476.7,-28527,-23243,-27080,-9522.6,-3142.7,-7406.9,48144,349427,13,1607,640,-1.154,-0.63185,1.7619
1004.1,264,575.42,-148.5,-1151.5,246.71,4.5388e+05,625011,1,-17007,-15314,-16908,-44981,-34678,-42426,-24851,-15921,-22323,84881,355822,13,1599,638,-1.1647,-0.63185,1.7548
