"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-496.72,-3990.1,-1534.2,-1220,3380,-2368.3,5.4667e+05,573441,1,19618,-1.472e+05,-13155,-28165,-3.6461e+05,-29913,-16402,-37942,-2705.3,3.9821e+05,367680,0,1449,1061,0.10081,-0.18194,2.189
-1170.7,-4146,-1383.7,-1081.3,3343.9,-2850.2,5.4218e+05,573439,1,-45902,-1.9055e+05,-14106,-86374,-2.2185e+05,-15735,-2082.8,-72.68,-176.62,3.0911e+05,367190,0,1444,1060,0.087375,-0.18194,2.1896
-3172.4,-4495.4,-94.48,104.84,2227.3,-5030.9,5.8721e+05,571907,1,76689,-1.4512e+05,-14783,-33143,960.99,1543.9,-4092.4,66517,5382.8,1.8092e+05,364047,0,1430,1058,0.10086,-0.16849,2.1901
-4995.1,-4663.8,76.587,235.08,1825.9,-6581.7,5.8374e+05,571905,1,-55903,-1.8281e+05,-12463,-70424,51884,6299.3,35611,74443,4480.5,2.2632e+05,365841,0,1444,1060,0.087418,-0.16849,2.1907
-3947.4,-5294.1,650.93,816.42,1853.1,-6319.3,5.9542e+05,570373,1,1.7803e+05,-79416,-15492,-44489,14448,3168.7,-11556,31432,3032.6,2.0389e+05,365072,0,1430,1058,0.11435,-0.15503,2.1904
-4268.4,-4284.9,-24.312,82.009,1260.4,-5914.8,5.9024e+05,570371,1,64064,-61023,-7212.3,-1.0176e+05,67398,9338.6,8953.4,21094,891.22,1.5294e+05,362295,0,1430,1058,0.1009,-0.15503,2.1911
-5719.3,-2855.8,575.19,547.17,-368.27,-6384.5,5.884e+05,570369,1,39275,-24418,-3648.3,-73650,1.0136e+05,10146,-2662.3,12992,1149.7,1.3465e+05,360881,0,1430,1058,0.087458,-0.15503,2.1917
-4962.1,-1746.5,81.14,37.015,-566.24,-5230.4,5.8139e+05,570367,1,-1.9184e+05,-83641,7.1143,-1.0608e+05,46936,6901.5,40315,23431,377.72,2.4388e+05,366240,0,1435,1059,0.074008,-0.15503,2.1922
-4282.5,-4571.9,927.81,996.18,784.73,-6204.4,5.9649e+05,568837,1,2.3638e+05,-42869,-15695,-88798,58351,8387.6,-29889,18169,2949.9,2.6562e+05,366655,0,1430,1058,0.11439,-0.14157,2.1914
-5068.1,-2578,480.06,411.87,-878.69,-5623.3,5.9159e+05,568835,1,35681,-25463,-3291.2,-1.0592e+05,77615,10006,15199,3765.4,-476.26,1.3972e+05,361275,0,1430,1058,0.10095,-0.14157,2.192
-5038.4,-1510.2,316.59,212.43,-1384.2,-5079.9,5.892e+05,568833,1,-2392.9,-6635.9,-204.21,-43364,56330,5432.6,12866,-3854.8,-778.53,72896,354126,0,1435,1059,0.087494,-0.14157,2.1926
-4859.9,-1681.3,34.356,-21.124,-762.83,-5085.7,5.8436e+05,568831,1,-1.3573e+05,-49480,1189,-39513,44157,3903.8,36825,16819,-171.27,1.6136e+05,362893,0,1435,1059,0.074039,-0.14157,2.1931
-4908.1,-3630.9,1001.8,954.88,-638.49,-6079.2,5.9626e+05,567301,1,1.5597e+05,-23801,-9921.3,-1.1885e+05,49815,9049.6,2641.2,-2892.7,-153.36,2.042e+05,365081,0,1430,1058,0.11444,-0.1281,2.1922
-5360.7,-1926.2,308.77,173.95,-1823.9,-5402.4,5.9134e+05,567299,1,11311,10975,-14.856,-82386,32935,5793,24706,-8053,-1665,93979,356973,0,1430,1058,0.10098,-0.1281,2.1928
-5318.9,-1167.7,191.29,47.119,-2044.9,-5050.4,5.8706e+05,567297,1,26204,15110,-185.4,-54497,24586,3665.4,-4359.7,-9443.5,-424.27,67906,353302,0,1435,1059,0.087527,-0.1281,2.1934
-6300.5,-552.9,535.92,354.7,-2705,-5731.2,5.8793e+05,567295,1,-1.1903e+05,-21876,1995.6,-51726,47498,4556.3,27730,6287.7,-387.36,1.4287e+05,361536,0,1435,1059,0.074067,-0.1281,2.1939
-2336.6,393.76,-433.34,-519.78,-1324.4,-1943.7,5.5046e+05,567293,1,-2.6903e+05,-1613.4,7347.8,-37277,20411,2413.3,44473,772.97,-1247.9,2.7609e+05,366826,0,1435,1059,0.060604,-0.1281,2.1943
-4797.4,-2979.3,751.71,655.23,-1333.8,-5499.9,5.9549e+05,565765,1,1.0252e+05,23907,-4446,-1.0367e+05,37570,7343.9,12297,-13860,-1274.5,1.5382e+05,362361,0,1430,1058,0.11448,-0.11463,2.1929
-4924.8,-1577.3,217.71,73.163,-2082.8,-4737.7,5.9046e+05,565763,1,8768.2,30484,1147.1,-85599,25751,5479.3,27462,-7821.8,-1764.8,99229,357599,0,1430,1058,0.10102,-0.11463,2.1936
-4864.3,-943.03,171.53,26.634,-2209.7,-4438.1,5.8541e+05,565761,1,9442.8,33251,1387.2,-53616,24915,3430.2,-1632.9,282.51,52.744,68605,353418,0,1435,1059,0.087557,-0.11463,2.1942
-5131.4,-345.05,231.48,76.12,-2505.2,-4496.8,5.8579e+05,565759,1,-1.271e+05,42615,6098.2,-38980,23988,2518.3,29917,-2966.6,-1078.6,1.4496e+05,361712,0,1435,1059,0.074092,-0.11463,2.1947
-4386.4,-1382.1,169.56,31.216,-2128.7,-4080.1,5.8893e+05,564227,1,403.61,45325,2073.8,-69454,18646,4147.5,16415,-4307.2,-1011.5,86813,356049,0,1417,1057,0.10105,-0.10116,2.1942
-4349.4,-664.73,183.11,40.114,-2351.2,-3723.3,5.8479e+05,564225,1,9999,62778,2418.6,-72188,19460,3703.7,-6815.9,-3733.2,95.209,98543,357517,0,1417,1057,0.087583,-0.10116,2.1948
-4899.9,460.98,413.66,226.63,-3286,-3680.1,5.8736e+05,564223,1,-78636,60919,4997.2,-40673,42131,3491.7,17883,-849.5,-503.67,1.1697e+05,359407,0,1435,1059,0.074114,-0.10116,2.1953
-3332.4,938.54,197.19,47.145,-2874.7,-1938.7,5.8414e+05,562687,1,-1.2924e+05,1.1516e+05,8626.8,-38157,-421.67,1499.5,22789,-15146,-1296.6,1.7957e+05,363967,0,1417,1057,0.074134,-0.087676,2.1959
