"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-4809.1,1678.5,-1315.4,-536.35,1364.5,5052.3,4.6132e+05,205155,1,-1.8959e+05,82977,-1.2509e+05,72963,-31660,51330,-64145,30143,-20647,2.6998e+05,366733,439,656,3547,0.97925,1.9604,-0.18194
-5591.7,1885.4,-2324,-638.04,2390.2,5839.7,4.7983e+05,206685,1,-1.7998e+05,74087,-1.7005e+05,72151,-29499,70902,-94034,44035,-35253,2.9988e+05,367110,439,666,3548,0.99074,1.9533,-0.19538
-1316.9,543.15,-392.06,-58.671,398.85,1421.5,3.6052e+05,206689,1,-65515,27700,-47607,18534,-7790.5,14052,-19629,8500.6,-12150,92373,356761,439,656,3547,0.96669,1.9653,-0.19538
-2817.7,933.55,-933.49,-339.35,967.47,2937.9,4.2516e+05,206687,1,-1.4701e+05,61591,-1.2132e+05,46208,-19248,39698,-65575,29573,-32847,2.2463e+05,365788,439,666,3548,0.97873,1.9594,-0.19538
-2925.5,885.71,-1399.8,-398.09,1444.2,3009.7,4.3368e+05,208217,1,-1.24e+05,45042,-1.7023e+05,36468,-12142,61167,-98661,41575,-80485,2.6371e+05,366624,439,666,3548,0.99018,1.9522,-0.20881
-1522.9,603.32,-425.77,-99.743,437.22,1632,3.7534e+05,208219,1,-71605,28524,-70016,18514,-7292.1,19038,-36819,15122,-31689,1.1912e+05,359593,439,666,3548,0.97818,1.9582,-0.20881
-2689.3,690.27,-2054.3,-426.77,2112.2,2699.1,4.3958e+05,211275,1,-17361,-669.81,-80912,-4605.6,2726.4,2306.7,-85130,22418,-1.8848e+05,2.2396e+05,365772,439,685,3550,1.0247,1.9312,-0.23566
-3727.2,914.82,-3241.1,-583.64,3317.1,3726.9,4.6574e+05,209745,1,-45460,9412.6,-1.2487e+05,4732.1,1237.4,32701,-1.3094e+05,47400,-1.8409e+05,2.6856e+05,366705,439,685,3550,1.0134,1.9387,-0.22224
-1066.2,492.7,-324.19,7.6324,324.8,1174.3,4.1922e+05,206691,1,-5130.4,2773,2498.4,1014.7,-638.86,-1395.8,-3.4769,43.736,263.43,6611.3,309166,439,656,3547,0.95461,1.9712,-0.19538
-1127.4,522.05,-331.7,10.081,332.24,1242.2,4.7652e+05,208223,1,-1685.4,867.64,304.64,643.2,-413.79,-942.79,2049.8,-1021.4,-335.91,3243.1,264454,439,666,3548,0.95407,1.9701,-0.20881
-1127,523.31,-290.81,-0.089698,292.13,1242.2,3.7268e+05,208221,1,-13458,6000.5,-6539.4,2714.8,-1334.6,144.01,-3284.9,1255.8,-3718.4,17183,335228,439,666,3548,0.96614,1.9642,-0.20881
-1521.8,602.4,-407.16,-109.22,420.35,1629.7,3.7502e+05,209749,1,-44893,16796,-52931,7299.3,-2780.2,8217.7,-32888,12002,-41472,90406,356519,439,666,3548,0.98958,1.951,-0.22224
-2544.6,742.43,-1382.2,-362.61,1426.1,2602.2,4.2473e+05,209747,1,-91116,32759,-1.2495e+05,16811,-5481.3,28209,-1.0593e+05,42363,-1.0771e+05,2.252e+05,365808,439,676,3549,1.0015,1.9449,-0.22224
-1139.9,539.28,-291.34,10.355,291.79,1260.8,4.6873e+05,209753,1,-2623.4,1105.4,-1880.3,1104.2,-578.16,-269.95,2829.4,-1446.9,-601.17,4871,293400,439,666,3548,0.96556,1.963,-0.22224
-1145.7,545.08,-224.27,-1.565,225.58,1268.5,3.7441e+05,209751,1,-13314,5184.2,-13760,2160.2,-936.66,1400.2,-4173.5,1298.7,-7428.7,21801,338698,439,666,3548,0.97759,1.9571,-0.22224
-1367.5,691.37,68.872,-28.45,-66.075,1532.2,3.835e+05,212809,1,-24039,9091.7,-27811,3836.5,-2270.1,-2096.5,-19400,4963.4,-41776,60038,351895,439,685,3550,1.0121,1.9362,-0.24907
-2065.1,675.43,-884.94,-261.2,918.22,2143,4.0675e+05,211277,1,-46023,13604,-86954,2779.2,-478.58,8235.6,-67210,20540,-1.2198e+05,1.725e+05,363573,439,685,3550,1.0128,1.9375,-0.23566
-1425.9,618.24,-200.94,-81.027,210.83,1550.7,3.6971e+05,211279,1,-37257,13326,-49434,5161,-2212.9,3846.2,-37040,12155,-58622,94931,357098,439,676,3549,1.0009,1.9437,-0.23566
-1159.1,576.76,-122.61,3.2744,122.97,1294.6,3.9982e+05,211281,1,-9765.1,3488.5,-12791,1757.7,-890.45,92.337,357.8,-1229.4,-9200.4,19008,336761,439,676,3549,0.98894,1.9498,-0.23566
-1149.9,565.38,-224.42,16.021,223.99,1281.4,4.7352e+05,211283,1,-2715.6,1164.2,-1830.3,1374.8,-748.46,-496.45,4330.5,-2151.5,-80.061,6177.8,305616,439,666,3548,0.97696,1.9558,-0.23566
-1215,646.72,19.611,16.388,-21.607,1376.3,4.3432e+05,212811,1,-6742.2,2596.1,-7169.5,2996.3,-1631.6,-730.86,7412.3,-4057.7,-2382.2,13887,332003,439,685,3550,1.0002,1.9423,-0.24907
-1174.9,599.92,-157.62,21.406,156.2,1319.2,4.8018e+05,212813,1,-2883.9,1455,-222.8,2354.2,-1242.5,-386.55,7687.5,-3398.6,3767.1,10127,323988,439,676,3549,0.98827,1.9484,-0.24907
