"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-9571.6,5148.9,9385.7,-2.95,-9387.9,10867,5.9263e+05,179029,1,-366.04,275.1,-2637.8,4612.6,-2513.9,-3363.8,23849,-13418,315.69,28196,342479,333,520,3356,1.0777,1.9161,0.047219
-9637.3,5055.7,8986.9,-2.956,-8990.5,10880,5.868e+05,177495,1,1019.7,-433.58,-4190.6,3718.1,-1988,-2314.1,23126,-12800,-1064.8,27234,342050,333,520,3356,1.0658,1.9224,0.060708
-9551.4,5202.4,9369.6,-4.2424,-9370.7,10875,5.9337e+05,180565,1,-1558.6,890.65,-865.61,5355.9,-2936.1,-4285.4,22373,-12593,1765.7,26868,341861,333,520,3356,1.0778,1.9163,0.033729
-9529.6,5122.5,9017.9,-2.2374,-9019,10818,5.9321e+05,180567,1,-409.77,274.76,-2401.1,4683.7,-2535.6,-3358.4,20187,-11195,388.96,24056,340216,333,520,3356,1.0661,1.9229,0.033729
-9569.5,5080.9,9009.7,-2.7509,-9011.9,10833,5.9024e+05,179031,1,635.28,-247.74,-3988.4,4066.2,-2197.1,-2473.4,21509,-11906,-1147.3,25487,341191,333,520,3356,1.0659,1.9227,0.047219
-9589.9,5024.2,8722.4,-1.9852,-8724.5,10825,5.8659e+05,179033,1,1681.7,-785.91,-5254.4,3400.5,-1822.6,-1585.6,18607,-10106,-2384,22416,339134,333,520,3356,1.0541,1.9292,0.047219
-9511.7,5175.3,8994.2,-2.8928,-8994.6,10828,5.928e+05,182103,1,-2089.2,1155.5,1395.5,5724.5,-3126.2,-5683.7,19840,-11042,2177,24552,340559,333,628,3360,1.0661,1.923,0.020238
-9620.6,5377.6,9293.5,-0.6884,-9293.6,11022,5.9615e+05,183637,1,-4381.9,2444.3,6215.8,7196.4,-4011.8,-8746.9,21295,-11961,5174.8,28836,342789,333,628,3360,1.078,1.9165,0.0067463
-9498.9,5099.1,8732.9,0.37838,-8733.3,10781,5.9251e+05,182105,1,100.92,-38.149,-723.3,4402.7,-2360.6,-4320,17161,-9388.4,1051.9,20686,337941,333,628,3360,1.0543,1.9295,0.020238
-9525.5,5051.4,8741.9,-0.486,-8742.9,10781,5.9191e+05,180569,1,457.26,-183.23,-3369.5,4230.7,-2267.5,-2775.4,17695,-9659.1,-388.26,21187,338276,333,520,3356,1.0542,1.9294,0.033729
-9731.8,5511.2,9180.2,4.5848,-9180.3,11184,5.9628e+05,185173,1,-5188.1,2955.7,9529,7657,-4348.5,-10850,20518,-11509,9635.6,31113,343821,333,628,3360,1.078,1.9165,-0.006746
-9542.8,4993,8474,1.9007,-8475,10769,5.9376e+05,180571,1,1653,-816.4,-3922.5,3386.2,-1790.5,-2427.3,18257,-9833.5,-768.02,21678,338623,333,595,3357,1.0424,1.9358,0.033729
-9549.5,5264.1,8964.1,1.2047,-8964.1,10904,5.9489e+05,183639,1,-3132.8,1731.2,5529.1,6350.1,-3500.2,-8424.4,18128,-10052,3859.5,24728,340667,333,628,3360,1.0662,1.9231,0.0067463
-9521.9,5177.4,8711,4.4286,-8711,10838,5.9417e+05,183641,1,-545.04,292.89,3412.5,4736.4,-2562.8,-7167.6,16784,-9179,2540.6,21560,338554,333,628,3360,1.0544,1.9296,0.0067463
-9654.1,5395,8890.7,10.162,-8890.8,11059,5.9525e+05,185175,1,-4062.8,2289.2,8961.2,6766.5,-3793.3,-10583,17828,-9876.9,8108.2,27484,342158,333,628,3360,1.0662,1.9231,-0.006746
-9509.4,5037.9,8474.4,5.2783,-8474.7,10761,5.9406e+05,182107,1,1170.8,-613.39,-705.66,3119.1,-1637.6,-4701,18823,-10137,1094.2,22249,338991,333,595,3357,1.0425,1.936,0.020238
-9796.1,5554.3,8747.2,27.368,-8747.9,11261,5.95e+05,186711,1,-4389.8,2572.8,12361,5619.8,-3290.6,-15399,17496,-9568.8,13612,32267,344332,333,628,3360,1.0661,1.923,-0.020238
-9871.5,5664.9,9027.5,15.16,-9028,11381,5.9645e+05,186709,1,-6382.1,3760.6,13973,8288,-4843.4,-14855,21085,-11739,13904,36587,346105,333,628,3360,1.0779,1.9165,-0.020238
-9610.1,5306.3,8657.5,21.96,-8657.6,10978,5.9499e+05,185177,1,-1696.8,964.67,8129.4,3124.9,-1771.2,-12953,17830,-9686.4,9151.2,27314,342085,333,628,3360,1.0544,1.9296,-0.006746
-9525.6,5114.9,8449.7,13.359,-8449.7,10812,5.9392e+05,183643,1,349.78,-189.59,3397.7,1916.6,-1015.4,-8651.5,20526,-11051,4098.2,25524,341210,333,595,3357,1.0425,1.9361,0.0067463
-9532.8,5009,8150.8,31.833,-8150.9,10769,5.9203e+05,182109,1,5179.4,-2721.4,-423.73,-866.98,518.57,-8080.6,23339,-12415,4691.4,28664,342687,333,595,3357,1.0306,1.9423,0.020238
-10225,6044.7,9137.7,42.997,-9139.4,11876,5.9608e+05,188243,1,-8441.3,5231.3,22435,8222,-5167.3,-25255,23002,-12641,25639,51772,350249,333,628,3360,1.0896,1.9097,-0.033729
-9746.1,5501.8,8499.5,76.681,-8500.5,11191,5.9492e+05,186713,1,-2377.4,1464.7,13294,-1792.4,709.81,-20518,29650,-15762,30967,51920,350286,333,618,3359,1.0543,1.9295,-0.020238
-9987.9,5825.5,8509.9,121.48,-8512.7,11560,5.9561e+05,188247,1,-3391.1,2348.6,23822,2480.6,-2011.7,-33132,31115,-16318,45859,70922,353808,333,628,3360,1.0661,1.9229,-0.033729
-10096,5909.2,8814.4,66.003,-8816.4,11696,5.9606e+05,188245,1,-6935.7,4273.6,20895,6885.6,-4360.9,-26883,20055,-10790,25880,49804,349831,333,628,3360,1.0778,1.9163,-0.033729
-9604.8,5266,8375.6,57.235,-8375.8,10953,5.9474e+05,185179,1,3538.4,-1841.6,10197,-4894.8,2515.1,-20434,36093,-19224,22348,52339,350379,333,606,3358,1.0425,1.9361,-0.006746
-9708,5573.9,8101.8,230.54,-8104.2,11190,5.9586e+05,186715,1,12496,-6459.4,17402,-10291,5255.5,-23284,56056,-29365,54008,89988,356458,333,618,3359,1.0425,1.936,-0.020238
-9528.9,5124.2,8070.1,85.163,-8069.9,10819,5.9284e+05,183645,1,8279.1,-4362.3,7045.2,-8242.7,4372.3,-17475,33091,-17558,19116,47941,349382,333,595,3357,1.0306,1.9424,0.0067463
-9704.9,5244,7647.8,174.9,-7647.3,11030,5.9199e+05,183647,1,14478,-7585.9,12226,-4202.5,2277.8,-23873,28327,-14845,23960,51052,350091,333,595,3357,1.0187,1.9487,0.0067463
-10480,6436.2,8273.1,294.21,-8281.3,12290,5.9645e+05,189781,1,-3637.5,3539.5,56734,4699.8,-4023.7,-53883,39204,-19601,91882,1.2865e+05,360417,333,628,3360,1.0777,1.9161,-0.047219
-10589,6482.9,8693.7,196.45,-8699.9,12410,5.9582e+05,189779,1,-7223.9,5385.1,47985,3876,-3622.2,-53778,26743,-13522,65396,1.0237e+05,357969,333,628,3360,1.0894,1.9095,-0.047219
-9937.1,5817.7,8032.1,217.25,-8036.4,11510,5.9602e+05,188249,1,-1392,1273.1,26464,-4019.5,1582.5,-32348,46951,-24369,64132,93167,356865,333,618,3359,1.0542,1.9294,-0.033729
-9938.5,5941.1,7082.9,410.43,-7090,11567,5.9694e+05,188251,1,15288,-7608.2,29960,-8770.1,4188.9,-29326,79905,-41355,90750,1.3592e+05,360976,333,618,3359,1.0424,1.9358,-0.033729
-10460,6374.8,6768.6,433.09,-6779.5,12236,5.971e+05,189785,1,2487.3,229.22,61481,4596.4,-3463.4,-38629,69351,-34330,1.375e+05,1.738e+05,363647,333,628,3360,1.0541,1.9292,-0.047219
-10372,6419.1,7717.4,419.25,-7728.2,12183,5.9707e+05,189783,1,51.757,1637.1,62027,1456.3,-2066.1,-50483,50153,-24550,1.2156e+05,1.5588e+05,362504,333,628,3360,1.0659,1.9227,-0.047219
-9989.6,5860.3,6956.8,430.7,-6961.1,11571,5.9541e+05,186717,1,30825,-15928,36373,-19595,10115,-29640,79928,-41470,85510,1.3897e+05,361225,333,606,3358,1.0306,1.9423,-0.020238
-9629,5381.2,7764.5,216.68,-7765.2,11028,5.9401e+05,185181,1,13113,-6819.7,17072,-16339,8511.5,-27279,46868,-24632,41256,78096,354904,333,606,3358,1.0306,1.9424,-0.006746
-10595,6199.6,5327.8,428.9,-5335,12265,5.9624e+05,188253,1,49116,-25320,41717,-14282,7240.5,-20751,1.0851e+05,-55639,1.1516e+05,1.8334e+05,364144,333,606,3358,1.0305,1.9422,-0.033729
-10004,5763.1,6946.9,451.83,-6948.3,11535,5.9405e+05,185183,1,40797,-21085,43118,-17416,9014.1,-34005,52114,-26850,85072,1.2721e+05,360288,333,595,3357,1.0187,1.9487,-0.006746
-11662,7188.1,5228.8,487.38,-5244.2,13685,5.9766e+05,191319,1,-2364,4372,96434,11612,-7568.4,-37991,57289,-25424,1.9856e+05,2.3306e+05,366007,333,628,3360,1.0658,1.9224,-0.060707
-11674,7410.9,6377.3,560.18,-6395.2,13808,5.9677e+05,191317,1,5927.5,-210.53,98143,9417.2,-6562,-43679,72075,-33973,1.9987e+05,2.4084e+05,366167,333,628,3360,1.0775,1.9158,-0.060707
-10564,6324.6,5293.3,446.55,-5304.2,12300,5.9745e+05,189787,1,27625,-13409,56272,-4462.5,1807.5,-23996,1.0398e+05,-52518,1.4011e+05,1.947e+05,364727,333,618,3359,1.0423,1.9356,-0.047219
