"pointsID","Points:0","Points:1","Points:2"
1,0.6597800851,1.362437963,-1.594867349
0,0.661934793,1.366819024,-1.59021914
4,0.6535181403,1.370864272,-1.590218186
2,0.6366610527,1.378773093,-1.590218902
6,0.6346119642,1.374340057,-1.59486866
7,0.6430391669,1.370416999,-1.594868779
3,0.6451128721,1.37483871,-1.59021914
5,0.6514199972,1.366454363,-1.594867826
