"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-8456,-401.02,-1905.7,115.45,2684.4,8250.9,5.9518e+05,9257,1,1.7312e+05,-5732.9,56718,34309,-31377,43140,34934,33368,-24949,2.005e+05,364873,157,16,1940,-0.43814,1.5645,1.4817
-6015,917.24,-2246.1,317.09,3349.8,5544.8,5.9619e+05,8047,1,2.3131e+05,92539,-28089,56373,14776,1418.4,16245,6934.7,-2498.1,2.5802e+05,366498,157,832,1944,-0.43568,1.5558,1.4916
-9174,-80.404,-2167.7,299.46,3236.8,8848.8,5.9522e+05,369077,1,2.5187e+05,74856,-4450.6,48480,-5419.3,19420,21886,25357,-19602,2.7078e+05,366696,157,832,1944,-0.43898,1.5501,1.4966
-10205,-1066.9,-1968.6,9.9519,2658.4,10104,5.9155e+05,10481,1,1.1379e+05,30248,2288.8,6864.8,-19994,23318,63483,32147,-14787,1.4192e+05,361511,157,832,1944,-0.45023,1.5705,1.4717
-8431.2,-755.71,-1437,186.85,2102.4,8322.7,5.9608e+05,10479,1,1.8005e+05,76126,-27634,22074,-18735,26677,53066,46520,-33873,2.16e+05,365464,157,20,1941,-0.44058,1.5733,1.4717
-10078,-211.16,-2702.6,125.2,3771.8,9730.2,5.9562e+05,9261,1,71157,54609,-35158,-46910,-13898,181.76,76815,24469,-1929,1.3483e+05,360980,157,832,1944,-0.45731,1.5591,1.4817
-11043,-511.04,-2499.5,192.24,3584.2,10750,5.9468e+05,369075,1,1.8961e+05,73975,-20692,24701,-12702,20220,46387,27651,-14668,2.1485e+05,365428,157,832,1944,-0.44815,1.5501,1.4938
-10940,487.4,-3569.9,262.15,5070.5,10338,5.9702e+05,9263,1,59955,91408,-76862,-68443,6614.7,-28512,98566,20344,9956.7,1.8338e+05,364109,157,21,1942,-0.46686,1.5562,1.4817
-10763,527.26,-4101,-71.593,5454.9,10157,5.8396e+05,10485,1,-1439.7,-276.35,-273.55,-1.0116e+05,-56576,28049,1.2834e+05,13876,26152,1.7769e+05,363837,157,21,1942,-0.46947,1.5649,1.4717
-11008,-1471.8,-2802.7,-603.39,3214.6,10977,5.4761e+05,11717,1,54237,58059,-45946,-38743,-50242,41692,1.2261e+05,82180,-50069,1.9616e+05,364694,157,28,1943,-0.46239,1.5764,1.4616
-10906,-399.05,-4705.3,-1071.9,5344.4,10561,5.4275e+05,11719,1,-21278,31077,-40714,-72688,-1.0532e+05,90153,1.2796e+05,1.4568e+05,-1.1629e+05,2.8054e+05,366818,157,28,1943,-0.47205,1.5735,1.4616
-8487.8,1191.4,-3116.2,405.66,4656.9,7830.8,5.9528e+05,370171,1,2.5103e+05,-18420,92799,26925,-54987,64289,35616,41581,-32082,2.8961e+05,366933,157,832,1944,-0.44165,1.5405,1.5057
