"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
1892.5,-651.03,800.98,26.887,-1951,-916.4,5.9109e+05,480087,1,59001,-29429,27149,-30474,9312.2,-12087,2332.4,-10573,4091.9,79873,355004,52,1274,1448,-0.6052,0.63185,2.0173
2159.3,-1008.2,689.92,-231.71,-2315.6,-859.94,5.4317e+05,481597,1,-46658,-11204,-10075,-2781,5274.9,-2476.3,-18698,-3457,-4407.1,53166,350399,52,1274,1448,-0.59389,0.61891,2.0247
2098.4,-834.17,886.75,1.6305,-2246.7,-915.24,5.8988e+05,481595,1,66844,-19750,26385,-29211,12377,-12662,5824.8,-6460.8,3808.5,82531,355366,52,1274,1448,-0.6063,0.61891,2.021
847.27,-370.54,677.33,278.69,-1059.5,-337.25,5.9759e+05,481593,1,46452,-61216,32920,-31489,37135,-21039,15100,-16529,9709.4,1.0197e+05,357766,52,1274,1448,-0.61869,0.61891,2.0173
2106.6,-841.75,887.32,3.137,-2266.7,-891.92,5.8326e+05,483103,1,19313,-15808,10579,-12021,2860.3,-4476.5,-3712.1,-2983.4,-187.88,30500,343758,52,1274,1448,-0.60738,0.60595,2.0246
2210.5,-1040.7,727.17,-214.11,-2394.3,-848.16,5.3484e+05,483105,1,-39175,-7635.5,-9069.9,-1881.4,-808.34,-363.91,-18338,-2235.9,-4688.7,45198,348578,52,1276,1449,-0.59495,0.60595,2.0283
2374.6,-985.93,752.85,-213.84,-2485.9,-975.94,5.274e+05,484615,1,-37548,-14133,-6739.4,-3803.4,-2455,-431.35,-18568,-3113.1,-4520.8,45283,348611,52,1276,1449,-0.59598,0.59297,2.0318
2216,-804.55,913.01,11.981,-2334.4,-970.46,5.8113e+05,484613,1,6554,-11075,5178.8,-8032.4,-2783.4,-1577.8,-5579.3,-3198.9,-721.62,17581,336222,52,1276,1449,-0.60844,0.59297,2.0281
