"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
3982.9,3366.7,8650.7,7.1658,-9402.8,-3690.7,5.6128e+05,283927,1,25181,-45009,-1.0038e+05,47760,-6256.1,-5156.1,1.076e+05,-1367.8,17783,1.6426e+05,363074,526,787,4333,0.16744,2.0167,-0.86014
6104,4287.9,9588,613.52,-10711,-5698.9,5.6968e+05,285401,1,83130,-38091,-70967,18911,8329.6,22536,43747,30345,78142,1.5256e+05,362269,526,791,4334,0.17934,2.0104,-0.87254
5049.6,3616.9,8434.2,345.31,-9337.8,-4733,5.6707e+05,285403,1,40712,-19905,-38234,52129,3274.3,17158,96585,13933,50052,1.3626e+05,361081,526,787,4333,0.167,2.0114,-0.87254
6767.3,3160.1,7172.1,545.63,-8074.4,-6459.7,5.6918e+05,286875,1,1.1336e+05,-23384,-30507,19126,24370,59067,26750,46602,1.1129e+05,1.8453e+05,364155,526,791,4334,0.17886,2.005,-0.88491
4806.6,2481.7,6422.5,17.709,-7023.5,-4602.3,5.5996e+05,286879,1,14819,-3894.5,-6183.2,19698,5241.6,15457,36082,10061,29328,56487,351007,526,791,4334,0.15424,2.0071,-0.88491
5080.6,2445.6,6358.2,14.474,-6970.9,-4860.9,5.6423e+05,288349,1,83364,-8119.5,-2237.4,3336.4,3813.2,9243.1,-5964.8,7731.2,16227,86546,355879,526,791,4334,0.1661,2.0006,-0.89725
4938.3,2433.3,6206.2,1.4371,-6798.5,-4754.4,5.5957e+05,288353,1,1865.2,-4909.8,-10658,2892.6,-925.19,-1592.9,11296,-118.87,1554.1,16822,335516,526,787,4333,0.14154,2.0025,-0.89725
5228,2496.2,6375.6,21.49,-7012.5,-5003.6,5.6304e+05,289819,1,64327,-14157,-18881,1297.3,-1929.6,-3983.2,-5252.9,1313.1,1830.3,68912,353324,526,791,4334,0.16564,1.9951,-0.90955
5129.9,2493.9,6315.5,9.4441,-6941,-4923.7,5.595e+05,289821,1,7641.3,-7049.3,-14126,1287.5,-1294.1,-2627.7,6350.6,263.71,1621.3,18997,337423,526,791,4334,0.1534,1.9961,-0.90955
5642.6,2563.8,6303.5,100.96,-6989.7,-5411.1,5.6358e+05,291285,1,51276,-15140,-23219,1798.3,-323.39,-412.88,-5908.1,5168.7,10000,59689,351623,526,791,4334,0.16518,1.9895,-0.92181
