"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-1990.3,-2819.3,4070.5,-34.812,-4486.7,2889,5.7356e+05,79421,1,-12723,-43543,78634,19956,-5410.2,27212,-51108,-22527,4553.6,1.1202e+05,358842,158,185,3021,-0.73766,1.8611,0.90955
-1655.6,-3062.9,4857.8,-12.691,-5341.4,2681.3,5.7554e+05,79423,1,-6145.9,-40516,77666,25857,-2847.3,27077,-58277,-24640,2344.1,1.1459e+05,359109,158,185,3021,-0.74906,1.8565,0.90955
-2884.3,-3102.9,4067.5,-3.4724,-4456.8,3824.7,5.7845e+05,80891,1,-8117,-31247,58206,21299,328.54,16874,-51947,-21459,1713.3,91272,356511,158,185,3021,-0.7397,1.8663,0.89725
-2476.2,-3698.9,5623.4,29.4,-6146.3,3695.6,5.8032e+05,80895,1,-2303.7,-34166,68763,19273,1064.2,14037,-54703,-25573,6621.8,1.008e+05,357637,158,185,3021,-0.76255,1.857,0.89725
-3672.5,-3324.2,4039.5,35.38,-4397.1,4639,5.7281e+05,82363,1,-2481.5,-21411,43212,19033,2619.3,10375,-43441,-22410,11095,72946,353962,158,185,3021,-0.74171,1.8713,0.88491
-3494.7,-3736.6,5440.9,240.5,-5837.7,4652.1,5.794e+05,82367,1,11900,-24507,61767,1499,4129.3,-7481.4,-10440,-35048,65159,1.0107e+05,357669,158,215,3022,-0.76462,1.8621,0.88491
-4313.3,-3229.8,3360.7,7.0821,-3658.2,5191.2,5.7692e+05,83835,1,-2516.2,-16277,32877,18478,3437.8,8090.2,-37915,-17104,4962.9,59377,351561,158,185,3021,-0.73217,1.8809,0.87254
-4167.9,-3581.8,4135.1,52.736,-4482.1,5216.1,5.7796e+05,83841,1,11419,-10995,33445,-4501.2,1105.5,-6359.3,18308,-14324,46602,64373,352488,158,215,3022,-0.76667,1.8671,0.87254
-4734.3,-3314.7,3329.6,40.185,-3600.8,5614.2,5.7913e+05,85311,1,-2855.5,-10673,20869,15735,5387.1,1555.2,-35671,-16452,5696.7,49113,349536,158,185,3021,-0.7341,1.8858,0.86014
-4430.1,-3487.2,4009.4,148.27,-4293.5,5422.6,5.8233e+05,85317,1,945.11,-8399.1,19168,-8748.8,1285.2,-10680,24505,-3977.9,30848,46894,349003,158,215,3022,-0.76869,1.872,0.86014
-4799.3,-3091.7,2820.7,22.502,-3055.4,5586.8,5.7931e+05,85309,1,-922.14,-9295.1,19585,18014,5875.2,2176.2,-36774,-15922,4108.4,49570,349645,158,185,3021,-0.72252,1.8903,0.86014
-4982,-3061.1,2736,57.702,-2941.1,5746.5,5.8353e+05,86787,1,-3729.3,-4379.5,6532.7,13867,11062,-12990,-32867,-18090,12447,46061,348790,158,185,3021,-0.72439,1.8952,0.84771
-4787.5,-3230.7,3042.9,93.533,-3258.8,5655.8,5.8152e+05,86795,1,-315.29,-2805,5745,-6155.2,5920.4,-18709,3844.6,-22636,53440,62024,352044,158,245,3025,-0.77068,1.8769,0.84771
-4982.3,-2625.3,2485.5,321.15,-2555,5591.2,5.8521e+05,88267,1,-5651.3,4182.8,-14583,-274.28,18384,-42173,-8802.6,-39199,82090,1.0359e+05,357946,158,243,3023,-0.72623,1.9,0.83524
-4863.6,-2714.3,3034.1,444.78,-3097.3,5516.9,5.8697e+05,88269,1,-12029,-863.28,-8754.6,-1030.5,20426,-47362,-14794,-48593,98110,1.2284e+05,359921,158,243,3023,-0.73788,1.8955,0.83524
-4694.7,-2786.3,3269.6,446.04,-3351.4,5391,5.8718e+05,88271,1,-9473.7,-244.97,-7950.8,132,19526,-44162,-1068.9,-36218,81760,1.0238e+05,357817,158,243,3023,-0.74949,1.891,0.83524
-4598.9,-2940,2445.8,29.118,-2632,5370.9,5.8108e+05,88275,1,1798.1,4896.3,-9333.1,-7223.6,10593,-30627,23177,-7527.8,38325,57266,351171,158,245,3025,-0.77264,1.8816,0.83524
-4530.5,-2880.3,2998.4,236.09,-3144.3,5279.1,5.8487e+05,88273,1,-5078.6,2329.8,-9759.4,241.36,15866,-35693,37399,-4486.2,44629,71153,353683,158,244,3024,-0.76108,1.8863,0.83524
-4711.9,-2713.4,1796.4,46.706,-1922.7,5393.7,5.8183e+05,88277,1,5789.4,6347.6,-8894.9,-20013,5243.6,-30656,59036,4509,45123,84038,355584,158,245,3025,-0.78417,1.8769,0.83524
-4467.8,-2429.6,2445.6,404.62,-2473.9,5055.8,5.8723e+05,89757,1,2278.6,1821.8,-1930.4,-5696.2,11941,-32823,22938,-22912,75120,89212,356248,158,244,3024,-0.77457,1.8863,0.82275
